NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1355.577	26.141	111.866	25.4	0.069	0.928	60000.0
2	1352.578	26.073	111.754	25.349	0.069	0.928	30000.0
3	1356.281	26.153	111.946	25.411	0.069	0.928	40000.0
4	1353.895	26.112	111.712	25.394	0.069	0.928	30000.0
5	1354.424	26.132	111.708	25.384	0.069	0.928	30000.0
6	1355.698	26.19	112.019	25.462	0.069	0.927	30000.0
7	1357.532	26.179	112.145	25.451	0.069	0.928	30000.0
8	1357.045	26.146	111.943	25.401	0.069	0.928	30000.0
9	1355.209	26.149	111.885	25.409	0.069	0.928	70000.0
10	1357.569	26.169	112.138	25.442	0.069	0.927	30000.0
11	1354.992	26.177	111.943	25.458	0.069	0.927	30000.0
12	1358.885	26.208	112.333	25.496	0.069	0.927	30000.0
13	1355.245	26.125	112.284	25.461	0.069	0.927	40000.0
14	1353.751	26.093	111.935	25.396	0.069	0.928	30000.0
15	1358.152	26.191	112.236	25.43	0.069	0.928	40000.0
16	1355.709	26.148	111.893	25.392	0.069	0.928	60000.0
17	1354.5	26.138	111.731	25.391	0.069	0.928	30000.0
18	1357.17	26.165	112.035	25.429	0.069	0.928	50000.0
19	1355.352	26.15	111.826	25.409	0.069	0.928	30000.0
20	1351.111	26.062	111.569	25.326	0.068	0.928	30000.0
21	1354.527	26.146	111.826	25.429	0.069	0.928	60000.0
22	1352.022	26.1	111.639	25.368	0.069	0.928	30000.0
23	1356.097	26.158	112.311	25.477	0.069	0.927	30000.0
24	1353.393	26.091	111.499	25.35	0.069	0.928	30000.0
25	1353.139	26.095	111.725	25.371	0.069	0.928	30000.0
26	1354.369	26.12	111.881	25.38	0.069	0.928	30000.0
27	1355.126	26.162	112.143	25.462	0.069	0.927	40000.0
28	1354.061	26.096	111.914	25.374	0.069	0.928	30000.0
29	1357.162	26.168	112.107	25.467	0.069	0.927	40000.0
30	1353.356	26.131	111.706	25.428	0.069	0.928	30000.0
31	1359.199	26.168	112.389	25.451	0.069	0.928	30000.0
32	1353.756	26.128	111.711	25.385	0.069	0.928	30000.0
33	1355.725	26.171	112.037	25.454	0.069	0.927	30000.0
34	1355.686	26.159	111.86	25.407	0.069	0.928	30000.0
35	1354.683	26.121	112.091	25.42	0.069	0.928	30000.0
36	1358.015	26.176	112.407	25.471	0.069	0.928	50000.0
37	1357.689	26.147	112.129	25.408	0.069	0.928	30000.0
38	1353.06	26.083	111.723	25.354	0.069	0.928	30000.0
39	1356.304	26.166	112.11	25.456	0.069	0.927	30000.0
40	1356.204	26.148	112.231	25.461	0.069	0.928	50000.0
41	1356.337	26.162	111.962	25.433	0.069	0.928	30000.0
42	1357.365	26.181	112.096	25.439	0.069	0.928	30000.0
43	1356.081	26.137	111.997	25.408	0.069	0.928	60000.0
44	1353.125	26.107	112.115	25.419	0.069	0.928	30000.0
45	1357.516	26.155	112.136	25.412	0.069	0.928	30000.0
46	1356.489	26.154	112.018	25.438	0.069	0.928	30000.0
47	1356.429	26.116	112.029	25.377	0.069	0.928	30000.0
48	1355.184	26.126	111.835	25.354	0.069	0.928	30000.0
49	1356.702	26.162	112.086	25.45	0.069	0.927	30000.0
50	1356.441	26.152	111.916	25.397	0.069	0.928	30000.0
51	1355.597	26.164	111.886	25.416	0.069	0.928	30000.0
52	1353.686	26.135	111.72	25.402	0.069	0.928	30000.0
53	1357.254	26.168	112.086	25.44	0.069	0.928	30000.0
54	1355.626	26.162	111.94	25.428	0.069	0.928	30000.0
55	1355.004	26.146	111.84	25.4	0.069	0.928	30000.0
56	1353.769	26.098	111.788	25.367	0.069	0.928	40000.0
57	1351.144	26.07	111.561	25.347	0.069	0.928	30000.0
58	1355.78	26.144	112.079	25.399	0.069	0.928	30000.0
59	1356.879	26.168	112.178	25.463	0.069	0.927	30000.0
60	1351.872	26.076	111.672	25.357	0.069	0.928	30000.0
61	1357.597	26.205	112.099	25.45	0.069	0.928	30000.0
62	1353.302	26.123	111.61	25.373	0.069	0.928	30000.0
63	1353.425	26.121	111.872	25.404	0.069	0.928	30000.0
64	1352.902	26.101	111.736	25.361	0.069	0.928	30000.0
65	1356.991	26.181	112.222	25.448	0.069	0.928	40000.0
66	1357.423	26.166	112.305	25.442	0.069	0.928	30000.0
67	1356.571	26.155	112.039	25.428	0.069	0.928	30000.0
68	1354.234	26.137	111.84	25.405	0.069	0.928	30000.0
69	1356.113	26.153	111.887	25.415	0.069	0.928	30000.0
70	1357.932	26.16	111.979	25.443	0.069	0.927	30000.0
71	1354.129	26.099	111.815	25.368	0.069	0.928	30000.0
72	1351.751	26.102	111.998	25.44	0.069	0.928	60000.0
73	1355.656	26.15	111.826	25.386	0.069	0.928	30000.0
74	1352.698	26.127	111.69	25.362	0.069	0.928	30000.0
75	1355.62	26.162	111.864	25.429	0.069	0.928	30000.0
76	1356.749	26.167	111.788	25.387	0.069	0.928	30000.0
77	1357.561	26.167	112.04	25.422	0.069	0.928	30000.0
78	1353.726	26.124	111.872	25.397	0.069	0.928	40000.0
79	1357.7	26.166	112.199	25.46	0.069	0.928	30000.0
80	1356.317	26.153	112.091	25.417	0.069	0.928	30000.0
81	1352.684	26.062	111.879	25.349	0.069	0.928	30000.0
82	1354.273	26.135	111.81	25.404	0.069	0.928	40000.0
83	1354.993	26.101	111.952	25.407	0.069	0.928	30000.0
84	1356.84	26.173	111.941	25.443	0.069	0.928	30000.0
85	1358.087	26.167	112.109	25.414	0.069	0.928	70000.0
86	1356.14	26.149	111.973	25.407	0.069	0.928	30000.0
87	1356.936	26.189	112.055	25.479	0.069	0.927	60000.0
88	1352.709	26.057	111.873	25.391	0.069	0.928	30000.0
89	1358.0	26.186	112.175	25.456	0.069	0.928	40000.0
90	1353.841	26.095	111.781	25.36	0.069	0.928	30000.0
91	1352.754	26.085	111.907	25.359	0.069	0.928	30000.0
92	1354.377	26.145	111.775	25.409	0.069	0.928	30000.0
93	1357.215	26.213	111.86	25.444	0.069	0.927	30000.0
94	1354.087	26.135	111.828	25.411	0.069	0.928	30000.0
95	1357.757	26.163	112.33	25.44	0.069	0.928	30000.0
96	1359.289	26.196	112.259	25.486	0.069	0.927	30000.0
97	1352.551	26.093	111.658	25.358	0.069	0.928	30000.0
98	1358.162	26.188	111.974	25.425	0.069	0.928	30000.0
99	1354.636	26.135	111.917	25.389	0.069	0.928	40000.0
100	1351.736	26.11	111.57	25.384	0.069	0.928	40000.0
