NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	799.383	8.908	107.578	10.172	0.008	0.977	0.0
2	802.731	8.944	108.099	10.211	0.008	0.977	0.0
3	802.961	8.921	108.047	10.185	0.008	0.977	0.0
4	800.188	8.894	107.764	10.177	0.008	0.977	0.0
5	800.289	8.899	107.888	10.182	0.008	0.977	0.0
6	801.973	8.936	107.85	10.2	0.008	0.977	0.0
7	803.663	8.957	108.18	10.231	0.008	0.977	0.0
8	801.861	8.92	107.718	10.165	0.008	0.977	0.0
9	803.332	8.937	108.157	10.216	0.008	0.977	0.0
10	801.381	8.916	107.886	10.185	0.008	0.977	0.0
11	803.729	8.944	108.128	10.212	0.008	0.977	0.0
12	805.122	8.948	108.28	10.211	0.008	0.977	0.0
13	801.752	8.921	108.108	10.214	0.008	0.977	0.0
14	803.54	8.928	108.064	10.194	0.008	0.977	0.0
15	801.257	8.913	107.95	10.192	0.008	0.977	0.0
16	802.57	8.928	108.17	10.206	0.008	0.977	0.0
17	797.968	8.882	107.662	10.165	0.008	0.977	0.0
18	800.542	8.926	107.844	10.207	0.008	0.977	0.0
19	803.16	8.947	108.112	10.207	0.008	0.977	0.0
20	801.938	8.917	108.167	10.2	0.008	0.977	0.0
21	800.553	8.899	107.909	10.179	0.008	0.977	0.0
22	801.897	8.933	107.821	10.2	0.008	0.977	0.0
23	799.786	8.909	107.737	10.178	0.008	0.977	0.0
24	798.591	8.896	107.495	10.161	0.008	0.977	0.0
