Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.1	6792	0.999	272.688	4.015%	39.841	5.039%	0.00172	0.995
SP.Syn.Abst.2	5279	1.0	25.527	0.484%	2.992	0.489%	3e-05	1.0
SP.Syn.Abst.3	5584	1.0	36.218	0.649%	4.713	0.729%	5e-05	1.0
SP.Syn.Abst.4	4881	1.0	28.535	0.585%	3.677	0.639%	4e-05	1.0
SP.Syn.Abst.5	8113	1.0	41.199	0.508%	5.3	0.563%	3e-05	1.0
SP.Syn.Abst.6	9148	1.0	171.184	1.871%	24.959	2.316%	0.00036	0.999
SP.Syn.Abst.7	7760	1.0	132.299	1.705%	19.512	2.156%	0.00032	0.999
SP.Syn.Abst.8	5254	1.0	39.338	0.749%	5.285	0.866%	6e-05	1.0
SP.Syn.Abst.9	4298	0.974	804.417	18.716%	118.658	22.64%	0.03031	0.913
SP.Syn.Abst.10	12380	1.0	223.295	1.804%	32.663	2.264%	0.00037	0.999
SP.Syn.Abst.11	9219	1.0	40.864	0.443%	5.511	0.514%	2e-05	1.0
SP.Syn.Abst.12	9384	0.992	933.357	9.946%	137.844	12.414%	0.00937	0.97
SP.Syn.Abst.13	12464	1.0	288.479	2.314%	42.538	2.934%	0.00072	0.998
SP.Syn.Abst.14	13619	0.999	380.773	2.796%	56.508	3.563%	0.00104	0.997
SP.Syn.Abst.15	7996	0.999	337.727	4.224%	49.497	5.325%	0.00191	0.994
SP.Syn.Abst.16	7806	0.999	343.771	4.404%	50.526	5.439%	0.0022	0.995
SP.Syn.Abst.17	18033	0.99	2011.416	11.154%	296.648	14.135%	0.01244	0.957
SP.Syn.Abst.18	11997	1.0	225.656	1.881%	32.939	2.319%	0.00038	0.999
SP.Syn.Abst.19	11115	1.0	211.894	1.906%	31.182	2.403%	0.00041	0.999
SP.Syn.Abst.20	5547	1.0	49.566	0.894%	6.776	1.052%	0.0001	1.0
SP.Syn.Abst.21	7995	1.0	184.474	2.307%	27.088	2.917%	0.00078	0.998
SP.Syn.Abst.22	9268	1.0	41.812	0.451%	5.92	0.551%	2e-05	1.0
SP.Syn.Abst.23	7167	1.0	114.666	1.6%	16.712	2.006%	0.00032	0.999
SP.Syn.Abst.24	12816	1.0	52.285	0.408%	7.044	0.474%	2e-05	1.0
SP.Syn.Abst.25	10264	1.0	249.518	2.431%	36.981	3.065%	0.00067	0.998
SP.Syn.Abst.26	9249	0.997	574.577	6.212%	84.354	7.513%	0.00424	0.991
SP.Syn.Abst.27	7794	0.999	298.246	3.827%	43.632	4.834%	0.00165	0.995
SP.Syn.Abst.28	6697	1.0	88.927	1.328%	12.812	1.649%	0.00023	0.999
SP.Syn.Abst.29	9469	0.978	1575.636	16.64%	232.429	20.692%	0.02518	0.916
SP.Syn.Abst.30	7558	0.996	552.829	7.314%	80.841	8.699%	0.00601	0.988
SP.Syn.Abst.31	20497	0.998	1093.546	5.335%	161.267	6.554%	0.00325	0.992
SP.Syn.Abst.32	17902	0.999	585.481	3.27%	86.396	4.108%	0.00126	0.997
SP.Syn.Abst.33	8839	0.997	505.19	5.715%	74.285	7.101%	0.0042	0.99
SP.Syn.Abst.34	21618	0.999	727.013	3.363%	107.29	4.263%	0.00154	0.996
SP.Syn.Abst.35	10724	0.998	488.476	4.555%	71.444	5.757%	0.00228	0.993
SP.Syn.Abst.36	15085	0.999	517.12	3.428%	76.459	4.362%	0.00127	0.996
SP.Syn.Abst.37	7534	0.998	356.883	4.737%	52.872	5.987%	0.00295	0.993
SP.Syn.Abst.38	10842	1.0	72.901	0.672%	10.311	0.82%	6e-05	1.0
SP.Syn.Abst.39	11218	0.999	357.478	3.187%	52.377	3.987%	0.0012	0.997
SP.Syn.Abst.40	10216	1.0	220.524	2.159%	32.498	2.7%	0.00052	0.999
SP.Syn.Abst.41	8031	1.0	197.181	2.455%	29.082	3.1%	0.00069	0.998
SP.Syn.Abst.42	2779	0.993	262.921	9.461%	38.911	12.089%	0.01086	0.968
SP.Syn.Abst.43	9794	0.999	326.485	3.334%	47.541	4.159%	0.0014	0.996
SP.Syn.Abst.44	11865	1.0	28.288	0.238%	3.701	0.269%	1e-05	1.0
SP.Syn.Abst.45	17095	1.0	27.164	0.159%	3.379	0.171%	0.0	1.0
SP.Syn.Abst.46	6516	1.0	66.846	1.026%	8.795	1.161%	0.0001	1.0
SP.Syn.Abst.47	8217	0.999	219.555	2.672%	31.719	3.294%	0.00081	0.998
SP.Syn.Abst.48	9873	1.0	173.238	1.755%	25.636	2.228%	0.00035	0.999
SP.Syn.Abst.49	5607	0.998	287.398	5.126%	42.183	6.393%	0.00256	0.992
SP.Syn.Abst.50	8606	0.999	243.973	2.835%	35.646	3.557%	0.00104	0.997
SP.Syn.Abst.51	7566	0.999	269.774	3.566%	39.102	4.352%	0.00142	0.996
SP.Syn.Abst.52	12203	1.0	95.749	0.785%	13.9	0.977%	7e-05	1.0
SP.Syn.Abst.53	10414	0.993	947.695	9.1%	138.793	11.522%	0.00869	0.97
SP.Syn.Abst.54	8230	1.0	74.749	0.908%	10.58	1.11%	9e-05	1.0
SP.Syn.Abst.55	11995	0.994	1069.471	8.916%	157.81	11.129%	0.00755	0.976
SP.Syn.Abst.56	11514	0.998	615.937	5.349%	90.653	6.657%	0.00353	0.992
SP.Syn.Abst.57	12036	1.0	182.16	1.513%	26.043	1.869%	0.00028	0.999
SP.Syn.Abst.58	10984	1.0	164.095	1.494%	23.77	1.827%	0.00023	0.999
SP.Syn.Abst.59	16910	0.997	1043.729	6.172%	154.151	7.541%	0.00356	0.99
SP.Syn.Abst.60	10602	1.0	239.844	2.262%	34.527	2.816%	0.00058	0.998
SP.Syn.Abst.61	14774	1.0	309.416	2.094%	45.325	2.601%	0.0005	0.999
SP.Syn.Abst.62	14893	0.999	443.679	2.979%	65.361	3.782%	0.001	0.997
SP.Syn.Abst.63	9665	0.999	255.682	2.645%	37.88	3.373%	0.00103	0.998
SP.Syn.Abst.64	11535	0.999	454.08	3.937%	66.591	4.85%	0.00172	0.996
SP.Syn.Abst.65	5392	1.0	38.227	0.709%	4.925	0.789%	6e-05	1.0
SP.Syn.Abst.66	5859	0.999	174.831	2.984%	25.73	3.779%	0.00137	0.997
SP.Syn.Abst.67	8865	1.0	24.747	0.279%	3.018	0.294%	1e-05	1.0
SP.Syn.Abst.68	21774	0.997	1287.552	5.913%	189.221	7.246%	0.00408	0.991
SP.Syn.Abst.69	14342	1.0	360.03	2.51%	52.802	3.162%	0.00078	0.998
SP.Syn.Abst.70	6652	0.999	185.234	2.785%	26.962	3.488%	0.00122	0.997
SP.Syn.Abst.71	12631	1.0	23.911	0.189%	2.988	0.202%	0.0	1.0
SP.Syn.Abst.72	18457	1.0	232.85	1.262%	34.359	1.602%	0.00025	0.999
SP.Syn.Abst.73	5899	1.0	28.119	0.477%	3.477	0.508%	3e-05	1.0
SP.Syn.Abst.74	9462	0.998	522.535	5.522%	76.712	6.93%	0.00307	0.99
SP.Syn.Abst.75	9161	1.0	59.383	0.648%	7.96	0.751%	4e-05	1.0
SP.Syn.Abst.76	8289	0.999	339.522	4.096%	49.505	5.003%	0.00189	0.995
SP.Syn.Abst.77	8765	0.999	326.83	3.729%	48.303	4.667%	0.0016	0.996
SP.Syn.Abst.78	9930	0.999	320.124	3.224%	46.96	4.024%	0.00123	0.997
SP.Syn.Abst.79	15947	1.0	26.566	0.167%	3.408	0.184%	0.0	1.0
SP.Syn.Abst.80	13138	0.998	723.645	5.508%	105.993	6.836%	0.0039	0.991
SP.Syn.Abst.81	7115	0.999	225.859	3.174%	33.21	4.029%	0.00113	0.996
SP.Syn.Abst.82	6297	0.997	376.955	5.986%	54.906	7.115%	0.00381	0.992
SP.Syn.Abst.83	9880	1.0	143.054	1.448%	20.842	1.816%	0.00025	0.999
SP.Syn.Abst.84	7897	0.999	255.799	3.239%	37.525	4.097%	0.00118	0.996
SP.Syn.Abst.85	12512	0.995	1029.206	8.226%	151.281	10.288%	0.00656	0.979
SP.Syn.Abst.86	10568	1.0	151.27	1.431%	21.931	1.781%	0.00024	0.999
SP.Syn.Abst.87	12491	1.0	106.07	0.849%	14.793	1.023%	9e-05	1.0
SP.Syn.Abst.88	16763	1.0	401.671	2.396%	59.065	3.034%	0.00081	0.998
SP.Syn.Abst.89	14645	1.0	181.105	1.237%	26.999	1.581%	0.00028	0.999
SP.Syn.Abst.90	5869	0.999	186.626	3.18%	27.392	3.902%	0.00102	0.997
SP.Syn.Abst.91	5678	0.997	331.697	5.842%	48.743	7.39%	0.00356	0.988
SP.Syn.Abst.92	5709	0.999	203.797	3.57%	29.576	4.433%	0.00158	0.996
SP.Syn.Abst.93	4549	1.0	36.388	0.8%	4.82	0.912%	8e-05	1.0
SP.Syn.Abst.94	7052	1.0	111.498	1.581%	15.944	1.954%	0.0003	0.999
SP.Syn.Abst.95	20507	0.999	594.487	2.899%	87.044	3.635%	0.00102	0.997
SP.Syn.Abst.96	7818	0.997	479.714	6.136%	70.404	7.745%	0.00387	0.987
SP.Syn.Abst.97	7874	0.999	283.37	3.599%	41.845	4.564%	0.00187	0.996
SP.Syn.Abst.98	13076	0.999	544.517	4.164%	80.139	5.229%	0.00223	0.994
SP.Syn.Abst.99	10608	1.0	221.051	2.084%	32.337	2.618%	0.00051	0.999
SP.Syn.Abst.100	12341	1.0	194.248	1.574%	28.235	1.972%	0.00032	0.999
SP.Syn.Abst.101	6874	0.984	977.402	14.219%	144.05	17.977%	0.01991	0.93
SP.Syn.Abst.102	6963	0.998	323.346	4.644%	47.935	5.855%	0.00222	0.993
SP.Syn.Abst.103	9497	1.0	204.543	2.154%	29.828	2.701%	0.0006	0.998
SP.Syn.Abst.104	7377	0.999	258.433	3.503%	38.245	4.456%	0.00178	0.996
SP.Syn.Abst.105	13135	1.0	91.332	0.695%	12.4	0.815%	6e-05	1.0
SP.Syn.Abst.106	3697	1.0	59.415	1.607%	8.582	1.915%	0.00028	0.999
SP.Syn.Abst.107	7732	0.999	237.121	3.067%	34.694	3.84%	0.00115	0.997
SP.Syn.Abst.108	3257	1.0	36.528	1.122%	4.754	1.202%	9e-05	1.0
SP.Syn.Abst.109	6325	0.998	285.881	4.52%	41.792	5.65%	0.00255	0.993
SP.Syn.Abst.110	11396	0.998	525.395	4.61%	77.132	5.655%	0.00238	0.994
SP.Syn.Abst.111	9498	1.0	235.906	2.484%	34.506	3.113%	0.00077	0.998
SP.Syn.Abst.112	9272	1.0	191.49	2.065%	27.779	2.572%	0.00045	0.999
SP.Syn.Abst.113	7847	1.0	49.202	0.627%	6.556	0.705%	3e-05	1.0
SP.Syn.Abst.114	7042	1.0	36.455	0.518%	4.641	0.569%	2e-05	1.0
SP.Syn.Abst.115	9482	1.0	56.677	0.598%	7.829	0.709%	4e-05	1.0
SP.Syn.Abst.116	6775	1.0	174.991	2.583%	25.042	3.136%	0.0007	0.998
SP.Syn.Abst.117	12554	1.0	107.091	0.853%	15.439	1.06%	0.0001	1.0
SP.Syn.Abst.118	6185	0.999	163.574	2.645%	23.633	3.235%	0.00077	0.998
SP.Syn.Abst.119	10344	0.999	316.15	3.056%	46.027	3.83%	0.00098	0.997
SP.Syn.Abst.120	7348	1.0	153.394	2.088%	22.573	2.626%	0.00052	0.999
SP.Syn.Abst.121	19230	0.999	521.054	2.71%	76.825	3.428%	0.00091	0.998
SP.Syn.Abst.122	5990	0.998	313.483	5.233%	46.406	6.41%	0.00262	0.993
SP.Syn.Abst.123	10213	0.986	1338.117	13.102%	196.968	16.494%	0.0165	0.943
SP.Syn.Abst.124	10868	0.999	432.92	3.983%	63.348	4.913%	0.00176	0.995
SP.Syn.Abst.125	21294	0.999	572.118	2.687%	84.091	3.398%	0.00098	0.998
SP.Syn.Abst.126	13214	0.999	455.087	3.444%	66.851	4.346%	0.00162	0.996
SP.Syn.Abst.127	12640	1.0	234.894	1.858%	34.241	2.334%	0.00048	0.999
SP.Syn.Abst.128	6003	0.998	292.393	4.871%	42.764	6.01%	0.00272	0.993
SP.Syn.Abst.129	6426	0.997	398.73	6.205%	58.457	7.785%	0.00383	0.987
SP.Syn.Abst.130	7531	0.999	252.411	3.352%	36.631	4.138%	0.00136	0.997
SP.Syn.Abst.131	6536	1.0	124.568	1.906%	17.329	2.227%	0.00035	0.999
SP.Syn.Abst.132	13915	1.0	256.109	1.841%	37.765	2.33%	0.00043	0.999
SP.Syn.Abst.133	6320	1.0	23.11	0.366%	2.875	0.393%	2e-05	1.0
SP.Syn.Abst.134	10474	1.0	69.301	0.662%	10.153	0.837%	6e-05	1.0
SP.Syn.Abst.135	15351	0.998	699.488	4.557%	102.888	5.678%	0.00249	0.994
SP.Syn.Abst.136	10732	0.998	503.63	4.693%	74.283	5.818%	0.00251	0.994
SP.Syn.Abst.137	2734	1.0	71.059	2.599%	9.614	3.012%	0.00067	0.998
SP.Syn.Abst.138	16451	1.0	130.889	0.796%	18.505	0.971%	7e-05	1.0
SP.Syn.Abst.139	11409	1.0	226.49	1.985%	33.034	2.491%	0.00049	0.999
SP.Syn.Abst.140	4913	1.0	27.321	0.556%	3.366	0.564%	3e-05	1.0
SP.Syn.Abst.141	7285	1.0	131.445	1.804%	19.184	2.254%	0.00039	0.999
SP.Syn.Abst.142	10040	1.0	169.144	1.685%	24.622	2.114%	0.0004	0.999
SP.Syn.Abst.143	10644	1.0	129.415	1.216%	18.253	1.482%	0.00018	1.0
SP.Syn.Abst.144	6221	0.999	217.809	3.501%	32.006	4.421%	0.00173	0.996
SP.Syn.Abst.145	9574	1.0	87.338	0.912%	12.329	1.109%	9e-05	1.0
SP.Syn.Abst.146	8494	1.0	131.21	1.545%	18.74	1.899%	0.00032	0.999
SP.Syn.Abst.147	11111	0.998	533.489	4.801%	78.818	6.019%	0.00286	0.993
SP.Syn.Abst.148	8244	1.0	102.517	1.244%	14.744	1.539%	0.0002	0.999
SP.Syn.Abst.149	11407	1.0	31.601	0.277%	4.237	0.32%	1e-05	1.0
SP.Syn.Abst.150	9732	0.999	271.552	2.79%	40.553	3.586%	0.00125	0.997
SP.Syn.Abst.151	10790	1.0	91.401	0.847%	12.811	1.008%	7e-05	1.0
SP.Syn.Abst.152	14493	1.0	39.784	0.275%	5.23	0.311%	1e-05	1.0
SP.Syn.Abst.153	4975	1.0	29.221	0.587%	3.43	0.568%	4e-05	1.0
SP.Syn.Abst.154	40955	1.0	517.855	1.264%	75.53	1.591%	0.00019	0.999
SP.Syn.Abst.155	11596	1.0	120.986	1.043%	17.093	1.254%	0.00011	1.0
SP.Syn.Abst.156	7615	1.0	187.874	2.467%	27.741	3.119%	0.00065	0.998
SP.Syn.Abst.157	7086	0.999	182.593	2.577%	26.894	3.254%	0.00084	0.998
SP.Syn.Abst.158	12837	1.0	260.466	2.029%	38.065	2.506%	0.00044	0.999
SP.Syn.Abst.159	14680	1.0	78.851	0.537%	11.396	0.67%	4e-05	1.0
SP.Syn.Abst.160	7156	0.994	641.355	8.962%	94.25	11.241%	0.00774	0.974
SP.Syn.Abst.161	11543	0.998	521.265	4.516%	76.009	5.702%	0.00246	0.993
SP.Syn.Abst.162	6719	0.987	875.557	13.031%	128.976	16.42%	0.01641	0.943
SP.Syn.Abst.163	13096	1.0	299.536	2.287%	44.304	2.913%	0.00074	0.998
SP.Syn.Abst.164	10300	0.998	513.649	4.987%	75.159	6.216%	0.00324	0.992
SP.Syn.Abst.165	6635	1.0	77.766	1.172%	10.968	1.417%	0.00014	1.0
SP.Syn.Abst.166	11637	1.0	185.141	1.591%	26.871	1.983%	0.00043	0.999
SP.Syn.Abst.167	9711	0.999	376.059	3.873%	55.148	4.827%	0.00176	0.995
SP.Syn.Abst.168	7559	1.0	42.432	0.561%	5.694	0.646%	4e-05	1.0
