Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.1	6792	1.0	22.986	0.338%	2.712	0.343%	1e-05	1.0
SP.Syn.Abst.2	5279	0.999	138.732	2.628%	19.874	3.249%	0.00108	0.998
SP.Syn.Abst.3	5584	0.999	213.434	3.822%	30.796	4.764%	0.00232	0.995
SP.Syn.Abst.4	4881	1.0	20.999	0.43%	2.557	0.444%	2e-05	1.0
SP.Syn.Abst.5	8113	0.999	269.31	3.319%	38.879	4.132%	0.00178	0.996
SP.Syn.Abst.6	9148	0.999	367.925	4.022%	53.361	4.952%	0.00306	0.995
SP.Syn.Abst.7	7760	0.999	231.409	2.982%	33.093	3.657%	0.00164	0.997
SP.Syn.Abst.8	5254	0.999	194.564	3.703%	27.886	4.568%	0.00226	0.996
SP.Syn.Abst.9	4298	1.0	24.358	0.567%	2.927	0.558%	4e-05	1.0
SP.Syn.Abst.10	12380	0.999	336.296	2.716%	48.772	3.381%	0.00138	0.998
SP.Syn.Abst.11	9219	0.999	382.462	4.149%	55.119	5.141%	0.00284	0.995
SP.Syn.Abst.12	9384	1.0	25.233	0.269%	2.932	0.264%	1e-05	1.0
SP.Syn.Abst.13	12464	1.0	198.98	1.596%	28.405	1.959%	0.00043	0.999
SP.Syn.Abst.14	13619	1.0	168.348	1.236%	24.114	1.521%	0.00029	1.0
SP.Syn.Abst.15	7996	1.0	21.07	0.264%	2.56	0.275%	1e-05	1.0
SP.Syn.Abst.16	7806	1.0	160.971	2.062%	23.119	2.489%	0.00097	0.999
SP.Syn.Abst.17	18033	1.0	20.628	0.114%	2.555	0.122%	0.0	1.0
SP.Syn.Abst.18	11997	1.0	22.959	0.191%	2.731	0.192%	0.0	1.0
SP.Syn.Abst.19	11115	0.999	319.87	2.878%	46.389	3.576%	0.00157	0.997
SP.Syn.Abst.20	5547	1.0	23.994	0.433%	2.834	0.44%	2e-05	1.0
SP.Syn.Abst.21	7995	1.0	38.239	0.478%	4.839	0.521%	4e-05	1.0
SP.Syn.Abst.22	9268	0.999	274.884	2.966%	39.618	3.689%	0.0015	0.997
SP.Syn.Abst.23	7167	1.0	175.506	2.449%	25.141	3.018%	0.00102	0.998
SP.Syn.Abst.24	12816	1.0	312.793	2.441%	45.175	3.04%	0.00101	0.998
SP.Syn.Abst.25	10264	0.999	324.413	3.161%	46.796	3.878%	0.00189	0.997
SP.Syn.Abst.26	9249	0.999	280.857	3.037%	39.524	3.52%	0.0009	0.999
SP.Syn.Abst.27	7794	1.0	20.568	0.264%	2.462	0.273%	1e-05	1.0
SP.Syn.Abst.28	6697	1.0	88.796	1.326%	12.612	1.623%	0.00034	0.999
SP.Syn.Abst.29	9469	1.0	20.915	0.221%	2.59	0.231%	1e-05	1.0
SP.Syn.Abst.30	7558	1.0	22.602	0.299%	2.635	0.284%	1e-05	1.0
SP.Syn.Abst.31	20497	1.0	335.331	1.636%	48.558	1.973%	0.00072	0.999
SP.Syn.Abst.32	17902	1.0	371.332	2.074%	53.641	2.551%	0.00088	0.999
SP.Syn.Abst.33	8839	1.0	24.42	0.276%	2.871	0.274%	2e-05	1.0
SP.Syn.Abst.34	21618	1.0	95.443	0.441%	13.498	0.536%	4e-05	1.0
SP.Syn.Abst.35	10724	1.0	22.204	0.207%	2.667	0.215%	1e-05	1.0
SP.Syn.Abst.36	15085	1.0	23.611	0.157%	2.825	0.161%	0.0	1.0
SP.Syn.Abst.37	7534	1.0	22.846	0.303%	2.702	0.306%	1e-05	1.0
SP.Syn.Abst.38	10842	0.999	321.098	2.962%	46.829	3.726%	0.00146	0.997
SP.Syn.Abst.39	11218	1.0	201.462	1.796%	29.552	2.25%	0.00069	0.999
SP.Syn.Abst.40	10216	0.999	380.144	3.721%	54.391	4.519%	0.0025	0.996
SP.Syn.Abst.41	8031	1.0	189.723	2.362%	27.308	2.911%	0.00111	0.998
SP.Syn.Abst.42	2779	1.0	23.621	0.85%	2.859	0.888%	9e-05	1.0
SP.Syn.Abst.43	9794	1.0	117.831	1.203%	16.784	1.468%	0.00027	1.0
SP.Syn.Abst.44	11865	0.999	341.558	2.879%	49.342	3.591%	0.00143	0.997
SP.Syn.Abst.45	17095	0.999	524.513	3.068%	76.289	3.854%	0.00157	0.997
SP.Syn.Abst.46	6516	1.0	25.19	0.387%	2.987	0.394%	2e-05	1.0
SP.Syn.Abst.47	8217	1.0	207.92	2.53%	30.388	3.156%	0.00124	0.998
SP.Syn.Abst.48	9873	1.0	24.342	0.247%	2.911	0.253%	1e-05	1.0
SP.Syn.Abst.49	5607	1.0	22.102	0.394%	2.675	0.405%	2e-05	1.0
SP.Syn.Abst.50	8606	1.0	107.641	1.251%	15.616	1.558%	0.00029	1.0
SP.Syn.Abst.51	7566	0.999	216.305	2.859%	31.721	3.531%	0.00165	0.998
SP.Syn.Abst.52	12203	0.999	497.794	4.079%	71.908	5.053%	0.00276	0.995
SP.Syn.Abst.53	10414	1.0	25.642	0.246%	2.977	0.247%	1e-05	1.0
SP.Syn.Abst.54	8230	0.999	335.357	4.075%	48.656	5.107%	0.00262	0.994
SP.Syn.Abst.55	11995	1.0	22.669	0.189%	2.67	0.188%	0.0	1.0
SP.Syn.Abst.56	11514	1.0	50.51	0.439%	6.932	0.509%	4e-05	1.0
SP.Syn.Abst.57	12036	0.999	453.374	3.767%	65.658	4.712%	0.00222	0.995
SP.Syn.Abst.58	10984	1.0	25.119	0.229%	2.927	0.225%	1e-05	1.0
SP.Syn.Abst.59	16910	1.0	23.149	0.137%	2.738	0.134%	0.0	1.0
SP.Syn.Abst.60	10602	1.0	25.623	0.242%	2.925	0.239%	1e-05	1.0
SP.Syn.Abst.61	14774	0.999	566.971	3.838%	82.35	4.726%	0.00265	0.996
SP.Syn.Abst.62	14893	1.0	22.762	0.153%	2.774	0.161%	0.0	1.0
SP.Syn.Abst.63	9665	1.0	22.919	0.237%	2.708	0.241%	1e-05	1.0
SP.Syn.Abst.64	11535	1.0	301.197	2.611%	43.581	3.174%	0.0015	0.998
SP.Syn.Abst.65	5392	0.999	201.543	3.738%	29.011	4.648%	0.00224	0.995
SP.Syn.Abst.66	5859	1.0	24.887	0.425%	2.96	0.435%	3e-05	1.0
SP.Syn.Abst.67	8865	0.999	256.473	2.893%	36.508	3.555%	0.00129	0.997
SP.Syn.Abst.68	21774	1.0	204.968	0.941%	29.935	1.146%	0.00026	1.0
SP.Syn.Abst.69	14342	1.0	229.593	1.601%	33.609	2.013%	0.00052	0.999
SP.Syn.Abst.70	6652	1.0	23.338	0.351%	2.789	0.361%	2e-05	1.0
SP.Syn.Abst.71	12631	1.0	22.676	0.18%	2.708	0.183%	0.0	1.0
SP.Syn.Abst.72	18457	1.0	132.645	0.719%	19.004	0.886%	9e-05	1.0
SP.Syn.Abst.73	5899	1.0	22.624	0.384%	2.709	0.396%	2e-05	1.0
SP.Syn.Abst.74	9462	1.0	24.959	0.264%	2.942	0.266%	1e-05	1.0
SP.Syn.Abst.75	9161	0.999	334.821	3.655%	48.156	4.542%	0.00206	0.996
SP.Syn.Abst.76	8289	0.999	219.475	2.648%	32.083	3.242%	0.00149	0.998
SP.Syn.Abst.77	8765	1.0	188.95	2.156%	26.826	2.592%	0.00096	0.999
SP.Syn.Abst.78	9930	1.0	217.952	2.195%	31.494	2.699%	0.00092	0.999
SP.Syn.Abst.79	15947	0.999	542.24	3.4%	78.719	4.26%	0.00196	0.996
SP.Syn.Abst.80	13138	1.0	23.725	0.181%	2.785	0.18%	1e-05	1.0
SP.Syn.Abst.81	7115	1.0	23.16	0.326%	2.773	0.336%	1e-05	1.0
SP.Syn.Abst.82	6297	1.0	23.39	0.371%	2.796	0.362%	2e-05	1.0
SP.Syn.Abst.83	9880	1.0	249.28	2.523%	35.802	3.119%	0.00111	0.998
SP.Syn.Abst.84	7897	1.0	24.638	0.312%	2.934	0.32%	1e-05	1.0
SP.Syn.Abst.85	12512	1.0	24.472	0.196%	2.875	0.196%	0.0	1.0
SP.Syn.Abst.86	10568	0.999	335.04	3.17%	48.643	3.95%	0.00177	0.997
SP.Syn.Abst.87	12491	0.999	400.899	3.21%	57.552	3.979%	0.00166	0.997
SP.Syn.Abst.88	16763	1.0	133.376	0.796%	19.237	0.988%	0.00012	1.0
SP.Syn.Abst.89	14645	1.0	22.132	0.151%	2.585	0.151%	0.0	1.0
SP.Syn.Abst.90	5869	0.999	215.504	3.672%	29.859	4.253%	0.00121	0.998
SP.Syn.Abst.91	5678	1.0	23.828	0.42%	2.829	0.429%	2e-05	1.0
SP.Syn.Abst.92	5709	1.0	68.799	1.205%	9.744	1.46%	0.00028	1.0
SP.Syn.Abst.93	4549	1.0	24.052	0.529%	2.842	0.538%	3e-05	1.0
SP.Syn.Abst.94	7052	1.0	21.243	0.301%	2.518	0.309%	1e-05	1.0
SP.Syn.Abst.95	20507	1.0	349.451	1.704%	50.839	2.123%	0.00058	0.999
SP.Syn.Abst.96	7818	1.0	25.621	0.328%	2.958	0.325%	1e-05	1.0
SP.Syn.Abst.97	7874	1.0	25.474	0.324%	2.994	0.327%	2e-05	1.0
SP.Syn.Abst.98	13076	1.0	96.447	0.738%	13.691	0.893%	0.0001	1.0
SP.Syn.Abst.99	10608	1.0	236.102	2.226%	34.248	2.773%	0.00095	0.998
SP.Syn.Abst.100	12341	1.0	179.113	1.451%	25.74	1.798%	0.0004	0.999
SP.Syn.Abst.101	6874	1.0	23.24	0.338%	2.714	0.339%	1e-05	1.0
SP.Syn.Abst.102	6963	1.0	24.15	0.347%	2.863	0.35%	1e-05	1.0
SP.Syn.Abst.103	9497	1.0	172.939	1.821%	24.997	2.263%	0.0006	0.999
SP.Syn.Abst.104	7377	1.0	21.668	0.294%	2.654	0.309%	1e-05	1.0
SP.Syn.Abst.105	13135	0.999	545.495	4.153%	78.44	5.157%	0.00275	0.994
SP.Syn.Abst.106	3697	1.0	22.971	0.621%	2.708	0.604%	4e-05	1.0
SP.Syn.Abst.107	7732	1.0	126.97	1.642%	18.426	2.039%	0.00053	0.999
SP.Syn.Abst.108	3257	1.0	22.605	0.694%	2.68	0.677%	5e-05	1.0
SP.Syn.Abst.109	6325	1.0	22.852	0.361%	2.702	0.365%	2e-05	1.0
SP.Syn.Abst.110	11396	1.0	255.744	2.244%	37.055	2.717%	0.00116	0.999
SP.Syn.Abst.111	9498	1.0	204.708	2.155%	29.504	2.661%	0.00082	0.999
SP.Syn.Abst.112	9272	1.0	21.107	0.228%	2.614	0.242%	1e-05	1.0
SP.Syn.Abst.113	7847	1.0	23.523	0.3%	2.758	0.296%	1e-05	1.0
SP.Syn.Abst.114	7042	0.999	211.311	3.001%	30.75	3.769%	0.00159	0.997
