NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	2206.732	41.951	81.545	40.346	0.18	0.821	80000.0
2	2207.68	41.945	81.593	40.336	0.18	0.822	100000.0
3	2207.013	42.067	80.886	40.443	0.181	0.819	90000.0
4	2207.304	41.955	81.559	40.342	0.18	0.821	120000.0
5	2207.538	41.954	81.56	40.344	0.18	0.821	120000.0
6	2207.761	42.074	80.859	40.438	0.181	0.819	90000.0
7	2206.523	42.059	80.876	40.436	0.181	0.819	90000.0
8	2207.393	41.959	81.539	40.346	0.18	0.821	80000.0
9	2206.755	42.067	80.89	40.447	0.181	0.819	60000.0
10	2206.779	42.067	80.865	40.441	0.181	0.819	100000.0
11	2206.979	42.066	80.847	40.432	0.181	0.819	120000.0
12	2207.145	42.067	80.886	40.442	0.181	0.819	60000.0
13	2207.589	41.959	81.578	40.343	0.18	0.821	90000.0
14	2206.962	42.064	80.871	40.435	0.181	0.819	100000.0
15	2207.315	41.955	81.549	40.348	0.18	0.821	70000.0
16	2207.94	41.959	81.59	40.343	0.18	0.821	120000.0
17	2208.304	41.951	81.581	40.341	0.18	0.821	100000.0
18	2207.028	42.075	80.858	40.446	0.181	0.819	60000.0
19	2207.28	41.949	81.558	40.342	0.18	0.821	100000.0
20	2207.247	41.945	81.545	40.339	0.18	0.821	150000.0
21	2207.324	41.959	81.497	40.338	0.18	0.821	70000.0
22	2207.394	42.07	80.886	40.442	0.181	0.819	90000.0
23	2207.563	42.073	80.921	40.449	0.181	0.819	50000.0
24	2207.008	42.069	80.868	40.44	0.181	0.819	60000.0
25	2207.196	42.067	80.879	40.435	0.181	0.819	140000.0
26	2207.394	41.948	81.57	40.341	0.18	0.821	70000.0
27	2206.732	42.071	80.851	40.443	0.181	0.819	70000.0
28	2206.726	41.944	81.534	40.337	0.18	0.822	90000.0
29	2207.192	42.067	80.918	40.438	0.181	0.819	70000.0
30	2207.45	41.948	81.545	40.334	0.18	0.822	90000.0
31	2207.44	41.947	81.59	40.34	0.18	0.821	110000.0
32	2207.056	42.066	80.868	40.438	0.181	0.819	90000.0
33	2207.508	41.959	81.564	40.351	0.18	0.821	90000.0
34	2206.911	41.943	81.533	40.336	0.18	0.822	90000.0
35	2207.324	42.072	80.855	40.44	0.181	0.819	70000.0
36	2206.933	42.066	80.898	40.445	0.181	0.819	60000.0
37	2207.722	42.072	80.888	40.437	0.181	0.819	60000.0
38	2207.801	41.961	81.57	40.35	0.18	0.821	120000.0
39	2207.081	41.952	81.572	40.344	0.18	0.821	90000.0
40	2206.807	42.063	80.835	40.436	0.181	0.819	60000.0
41	2207.467	41.96	81.548	40.348	0.18	0.821	110000.0
42	2206.394	42.066	80.85	40.442	0.181	0.819	140000.0
43	2206.882	41.952	81.538	40.344	0.18	0.821	110000.0
44	2207.73	41.951	81.582	40.347	1.228	0.821	100000.0
45	2207.144	42.07	80.882	40.442	0.181	0.819	80000.0
46	2207.845	42.063	80.919	40.431	0.181	0.819	70000.0
47	2207.202	41.949	81.564	40.343	0.18	0.821	130000.0
48	2207.682	41.951	81.593	40.344	0.18	0.821	80000.0
49	2207.342	42.071	80.868	40.437	0.181	0.819	70000.0
50	2207.165	42.07	80.845	40.439	0.181	0.819	80000.0
51	2206.753	42.068	80.875	40.44	0.181	0.819	70000.0
52	2207.603	41.961	81.563	40.35	0.18	0.821	70000.0
53	2207.542	42.07	80.868	40.439	0.181	0.819	120000.0
54	2207.369	41.954	81.55	40.341	0.18	0.821	140000.0
55	2207.91	41.944	81.595	40.335	0.18	0.822	110000.0
56	2206.988	42.075	80.862	40.447	0.181	0.819	60000.0
57	2207.209	41.955	81.544	40.344	0.18	0.821	120000.0
58	2209.119	41.948	81.632	40.346	0.18	0.821	70000.0
59	2207.444	41.959	81.527	40.342	0.18	0.821	100000.0
60	2207.81	41.948	81.562	40.339	0.18	0.821	190000.0
61	2207.355	42.068	80.889	40.441	0.181	0.819	80000.0
62	2206.884	42.057	80.889	40.431	0.181	0.819	70000.0
63	2206.856	42.062	80.867	40.437	0.181	0.819	50000.0
64	2207.62	41.945	81.576	40.332	0.18	0.822	110000.0
