Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD37458	6577	0.936	2398.313	36.465%	83.62	35.16%	0.13131	0.869
PD37459	4473	0.905	1990.686	44.504%	69.237	42.642%	0.19275	0.8
PD37461	4282	0.902	1878.586	43.872%	66.105	43.1%	0.18957	0.79
PD37462	4500	0.906	1955.802	43.462%	70.136	42.312%	0.18396	0.81
PD37463	22080	0.988	4479.893	20.289%	177.053	15.364%	0.04957	0.985
PD37464	6692	0.943	2273.897	33.979%	82.133	33.25%	0.11979	0.888
PD37466	7871	0.948	2646.271	33.621%	98.754	31.879%	0.11191	0.908
PD37467	5301	0.918	2168.035	40.899%	77.095	39.766%	0.16379	0.832
PD37468	12865	0.953	3839.498	29.845%	137.898	30.459%	0.07903	0.897
PD37469	8663	0.954	2766.172	31.931%	97.392	30.063%	0.09983	0.912
PD37470	9839	0.924	3423.197	34.792%	132.57	38.342%	0.11484	0.831
PD37472	7573	0.941	2572.621	33.971%	92.63	34.019%	0.11445	0.877
PD37473	4916	0.923	1978.067	40.237%	68.713	38.536%	0.16009	0.841
PD37474	3985	0.888	1897.088	47.606%	66.55	45.929%	0.21746	0.765
PD37475	5892	0.926	2290.869	38.881%	79.331	37.677%	0.14539	0.843
PD37476	3392	0.882	1691.122	49.856%	59.201	47.125%	0.24254	0.76
PD37478	4237	0.91	1877.766	44.318%	65.808	41.56%	0.19094	0.824
PD37479	7936	0.939	2740.824	34.537%	97.284	34.441%	0.1161	0.87
PD37480	5695	0.922	2223.672	39.046%	78.969	38.629%	0.14778	0.836
PD37481	9183	0.947	2865.768	31.207%	102.939	32.218%	0.09631	0.881
PD37482	4345	0.886	2112.658	48.623%	75.868	46.445%	0.22405	0.775
PD37483	6236	0.925	2369.89	38.003%	84.458	37.916%	0.13763	0.841
PD37484	14840	0.982	3869.089	26.072%	160.511	19.087%	0.0778	0.978
PD37485	3764	0.893	1786.776	47.47%	62.995	45.019%	0.21685	0.786
PD37486	3946	0.901	1821.672	46.165%	64.086	43.482%	0.20803	0.804
