Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11
AC>CA	3.57102726140933e-05	0.000261039972969137	0.00567644127541462	0.0033937486976576	0.00194963405818275	0.00230265183919544	0.0599036816281903	0.201009181189453	0.0208425571049908	0.00582064137239091	0.00108128035145371
AC>CG	1.89688369620133e-05	2.2125580596582e-05	4.15676408357134e-05	4.06594046869124e-05	0.000420902306018892	0.0001263861535799	0.00815681939381676	0.000909683410685291	0.00175382492712728	1.06983751081328e-05	0.000153115611811693
AC>CT	0.00308243600632717	8.79439481125971e-05	0.0026996618349216	6.82028723780466e-18	0.00184030878389212	0.000207758060679288	0.0177492390009452	0.297306602875563	0.0241468649387089	0.00815977762484706	0.000596677332627009
AC>GA	9.12516020521093e-05	0.000165418378592742	0.00522947739546072	0.00360688267383901	0.000508362525451389	0.00742735066928453	0.0126985364322939	0.00108451465199891	0.0214356379982222	0.00323368965132828	0.000348851033096743
AC>GG	4.10272950958698e-05	2.91052590182167e-18	0.000402267491958516	5.74641989627532e-18	1.01125878718825e-17	9.00284929610248e-05	0.00331493140164713	0.000757290403550961	0.00604095252677174	0.000356612503604427	0.00177582539472324
AC>GT	0.00212680899271058	0.000195430995805772	0.00902867037506897	9.18115589704476e-09	0.000748878128890755	0.000114266933373609	0.00587290996354806	0.000141173890044686	0.010251826868715	0.0173470828024527	0.00450665022394208
AC>TA	0.000862219861909695	0.00103299240640193	0.000902867037506897	0.00104107749903989	0.00134834504958433	0.00874315172025335	0.00707359377831789	0.0115930876592987	0.0349070468587651	6.34649370821439e-05	0.00020836351298086
AC>TG	0.000123584846873723	4.43907547615966e-06	9.9225981349767e-18	4.35285159047389e-05	0.00102036922671246	0.000388680705187501	0.00130248092080466	0.00240276091003206	0.015165925698347	4.62991826713545e-06	0.000188632119706158
AC>TT	0.0190406886171725	0.00203806609911733	1.59119141263591e-06	0.000131979116020018	0.00680549832459117	0.00275279430400056	0.00154000750155261	0.000250560281668713	0.0376182737992517	0.000429143860269735	0.00222570116138646
AT>CA	0.000226578044424431	1.72608120023886e-05	0.00411726757569181	0.000491257079228304	6.43720135542681e-05	6.4563267458267e-05	0.00947758780865707	1.70042013724328e-05	0.00703969142541401	0.00139589666330716	0.00489508334276354
AT>CC	0.000139613442311319	1.90416894312065e-18	0.0053103394300116	3.75414798536914e-18	1.26955915620918e-05	3.61894104437128e-05	0.0053450179893868	8.74676545416508e-05	0.000986665412380866	0.000458708251964961	0.000981082104562313
AT>CG	1.87091414275775e-06	1.90416894312065e-18	0.00853865150640631	5.07346284879887e-18	6.25839020666496e-18	1.03074690152672e-06	0.000947758780865707	0.000162702070685867	5.1107051135683e-18	0.00102418480395625	8.98464664178119e-06
AT>GA	0.000996567332323221	7.6714720010616e-05	0.00105855885113668	0.000173763421037086	0.000661601250418867	0.000917478011249054	0.0122952490490687	9.90892310192125e-05	0.00353093184093601	3.18723147485998e-05	0.00578322082689364
AT>GC	8.1793733879359e-05	2.67131614322681e-06	0.00307040550744063	9.43900064892814e-06	6.25839020666496e-18	9.74112456387885e-06	0.00793214331012833	0.000138235593891	0.00100329460472436	0.00161338764484227	0.00215838063003709
AT>TA	0.00109998469699827	0.000209138939076561	0.00137437198904485	0.00242947005338889	0.000472657469893839	0.00124595779305427	0.0290304491436343	0.00019267350475958	0.0050996189853393	0.00115863377435977	0.00198281856922068
CC>AA	1.09809418925202e-05	0.72856940701324	0.0117155655546173	8.27321537565513e-18	1.37919470107247e-17	1.03590918694859e-17	1.70100743054627e-17	0.0513569662779545	1.10184214959067e-17	0.011938838383258	8.36376909536953e-18
CC>AG	1.27420363469811e-05	0.0730582029684546	1.43061361558032e-17	0.00641765135568676	0.0319185059391057	0.0768819348385943	0.000156176567185112	0.0208932539975931	0.032249038524605	6.21342464763718e-05	0.00110606579057132
CC>AT	0.0193720389990687	0.100631133565365	0.00759127405024157	0.0185556401996836	0.00319185059391057	0.000546660510702993	0.00160316187038211	0.0388210138793987	0.0238203125465833	0.00915020460030722	0.0392585079986732
CC>GA	0.000138815680528087	0.0178117106410695	0.000818414095399558	0.00419570208336796	8.87938683738084e-05	0.0443069592008133	0.000568256907107273	0.00109049306348728	0.013437099385252	0.00295420891381347	0.00108444516297784
CC>GG	0.000101729103192971	0.00045284010104414	9.34409793960125e-05	8.6277817488975e-05	1.56308732788213e-05	0.022590308775626	0.00385737304493349	7.54853047654975e-05	0.00373795673807922	6.45743010364538e-18	0.00392585079986732
CC>GT	0.00716869036756983	0.00110694246921901	1.46927884843385e-17	9.44328440735492e-05	3.25752653205688e-05	0.00429340675072671	0.000306708198206906	0.000308680978416052	0.0218658253632738	0.000941163901745883	0.0790859798813854
CC>TA	0.0107737543096425	0.0161009813704583	0.0268078947784422	0.000200920944837339	0.00166816882891622	0.00277074505424804	1.70100743054627e-17	0.000965133539501718	0.000839207934333471	0.0208276085664136	0.0669101527629562
CC>TG	0.0026416416816912	0.000238495786549914	3.7376391758405e-05	9.80966965970537e-06	0.00631802524967483	0.0085743326678757	0.000444068311514293	0.00567487737612044	0.0189340945883098	6.45743010364538e-18	0.0367550669089028
CC>TT	0.888834730545508	4.1963182696757e-18	1.43061361558032e-17	8.27321537565513e-18	1.37919470107247e-17	1.03590918694859e-17	1.70100743054627e-17	0.00590402919415856	1.10184214959067e-17	0.0179518299777456	0.377792019001726
CG>AT	1.21260317519962e-06	0.00224645573763309	0.000710534837312261	0.000665337418971443	0.00418165105642369	0.0182676465005458	0.000226828197298955	0.000842554336761438	0.000519307529898294	1.25350876428717e-17	0.00402025632748584
CG>GC	1.08993519230215e-05	0.000720819275814445	2.77709038526974e-17	1.17007615060495e-05	0.000252938893169043	0.00142943122484377	0.000683041431479944	2.95679006379014e-17	2.84552071177147e-05	3.21412503663377e-05	0.000366682719979476
CG>GT	3.41861591681485e-06	0.00250040290797423	2.77709038526974e-17	1.60598687337934e-17	0.0165226212473326	0.00780130261694399	7.56093990996518e-05	0.00316612033379298	0.000235703965625071	1.72547765124551e-05	0.00260653981672158
CG>TA	0.000715898391991815	8.14584384863478e-18	0.244934368214332	1.60598687337934e-17	2.67727659100297e-17	2.01089477393276e-17	3.30197569014903e-17	0.00132401395776797	2.13888306834823e-17	0.605608822692047	1.63019185147502e-17
CG>TC	2.5337976795216e-05	0.00419989550948795	0.00180635969204033	1.60598687337934e-17	7.59836594398939e-05	0.0215868342599288	0.000177882982422852	0.00236804867940714	0.000315378545554671	0.00448285860372606	0.00151311845292736
CG>TT	0.000249357866873553	0.010861125131513	0.0179385027589046	0.000828230373271349	0.00566052764954914	0.0453057015331839	0.000114327255643435	0.000860870735386685	0.000196578055838213	0.013144079755076	0.00154404350160033
CT>AA	2.14292953839046e-05	0.00241230263542848	9.91359092076509e-05	6.1782961862781e-18	0.457105652315276	0.0041755722268819	1.27028334737902e-17	0.0207365259825103	8.22836931180152e-18	0.00255757542591675	0.00373905424558732
CT>AC	0.000324147103460506	3.1337389376127e-18	0.0280083005625499	6.1782961862781e-18	0.205010904149984	0.00181749237554011	1.41923250094338e-17	0.014092784648308	8.22836931180152e-18	0.00846017316461012	0.00199699488116596
CT>AG	2.20481920014903e-18	0.000441128238939725	0.109723239317206	0.000320388787945564	0.0261903882335147	0.0368158711968381	0.00177052767444421	0.0205352004875345	0.000530921390184976	0.0172457376047822	0.000421493387684389
CT>GA	6.90069728608046e-05	1.36020802807649e-05	1.65547343531224e-05	0.000593999047623595	0.0157927060134677	0.00684122771100738	0.00262768789778625	0.00560691503507684	0.00259075042633218	4.82229870382776e-18	0.00985750664745751
CT>GC	0.000194952434539492	0.000100700483846547	2.5890834540639e-05	6.37247120927542e-05	0.00475743007238002	0.00166836479600862	0.0219208188264522	0.000238570711546357	0.00283705416404686	4.82229870382776e-18	0.00519218669103148
CT>GG	8.35510433740687e-06	6.74843541001487e-05	5.76528248693039e-05	0.000817300324070503	0.000559120647681775	0.00634724260380929	0.00562072277601337	0.000308028007313019	0.00948725508234325	4.82229870382776e-18	0.00341613592437751
CT>TA	0.00604197822918032	0.00254005698060693	0.000177097158196192	6.1782961862781e-18	0.00327625081273181	8.23929876911515e-05	1.27028334737902e-17	0.0109722394761827	8.22836931180152e-18	0.00262265368102913	0.035436036827498
CT>TC	0.00812301810581217	2.88574520873687e-05	0.00610215208132532	6.1782961862781e-18	0.00023247647982558	7.73599318819635e-18	0.0888074198610112	0.0179179690528487	2.73670819682977e-05	0.0017896520155906	0.00254085731688774
CT>TG	0.00173291052923994	0.000293083497762338	0.0502416937926153	2.71845032196237e-05	0.000857318326445389	0.0104389305672048	1.27028334737902e-17	0.000972402140733254	8.62975318066989e-18	0.0297407625863602	0.00125768188260664
GC>AA	0.00171254620840605	0.00534869163656737	2.91275938259215e-05	0.405603428713334	0.000182784516917954	1.08385994812788e-17	1.77974464235398e-17	0.0181934717010741	1.15284485372531e-17	0.00372008747910206	0.0011906008241077
GC>AG	0.000115976230569271	0.000342189917693779	0.000703916850793104	0.0139735327575021	0.00365569033835908	0.00477943061463619	0.000143718317358231	0.0120161534025699	0.158484214924544	6.75633534807507e-18	0.00391707671131435
GC>AT	5.27854432590978e-05	0.0010034061278836	0.00538051385951051	0.0114261453698512	0.0021576818914375	0.00245500807527761	0.000689060425690147	0.00777101000565257	0.161040411939456	0.00706634263800024	0.0323843424157296
GC>CA	6.24320643064484e-05	0.00111606557770894	0.00031959443225664	0.0147154902490508	0.00629438411642278	0.011347883071363	0.00131905852917828	0.00681197428807657	0.0350198991042944	9.57375454180678e-05	0.00251216773886726
GC>CG	5.58203352739947e-06	7.04384784421964e-05	1.49683468272096e-17	1.21557369032075e-06	0.000443905255372174	1.18049324470795e-17	0.00521717179451111	0.000341303887725575	0.00319524626863999	6.75633534807507e-18	0.00481002732939513
GC>TA	8.96377034399876e-07	0.000774928552069602	0.00570415379090963	0.021887746000689	0.000305098968088615	0.00108255409276869	1.22849630180186e-05	0.0120725672683096	0.017893379104384	0.00256211907261686	0.000289316000258172
TA>AT	0.000202793752807404	0.00107274012301469	0.000724430694596895	0.0139276979571354	0.000952154344279163	0.00414623468194138	0.0407006593737295	0.00506845489461232	0.00733962731492833	0.00351321162545958	0.000983669089049684
TA>CG	3.03186699741762e-06	7.37265029999184e-06	0.00166868863445078	0.00017821955609624	4.01737849003347e-06	0.000125306275685276	0.00222467761809812	1.09206914739585e-05	0.00063925786291311	0.00138839420967682	0.000257606613455163
TA>CT	0.000281903394991678	0.000109224448888768	0.000171864937200919	0.00399505020349412	0.0011558237227346	0.0126273891713734	0.0212256126841492	0.00214233660493923	0.00672404566916015	0.00054725027242736	0.00149094238609324
TA>GC	8.07159293352239e-06	3.20651774952026e-05	0.000994218677412293	3.21619867299641e-05	2.65788538884344e-05	0.000127725315756421	0.001101397771583	0.000412269166170012	0.00027417059453829	2.50316328313996e-18	0.000449929359116895
TA>GG	2.82304966779415e-05	3.07778893475849e-05	0.002727856270689	0.00101708846923818	0.000829952717205901	0.000105470147101893	0.00314372476524685	0.000113387083724832	0.00153895411442045	0.00290177767910557	0.000165415205557682
TA>GT	0.000461807555898049	0.000507113512697851	0.000180857869961432	0.00369267255047736	0.000972521282124706	3.02380008893041e-05	0.0191832856904854	7.99457318428542e-05	0.00368401938775111	0.00121948980460665	0.0011777562635707
TC>AA	8.42810420320917e-06	0.0010891057162966	0.00528130671474101	0.334337561633629	0.0396084015615888	0.0426656867690435	0.0275272940477489	0.0390369413166166	0.00336440973361626	0.00491737095759053	0.000184307963144571
TC>AG	2.38925155852444e-06	0.000150221478109876	5.90659803797992e-06	0.0016496338793005	0.014608049090784	0.00771335996610653	5.61781511178551e-06	0.0116708381255864	0.0425793860595879	0.00017627083723638	0.0402589744380308
TC>AT	0.00190212259999033	3.13211781859091e-18	0.00107742504927321	0.00741894167107869	0.000733343672476941	0.000553349736698947	0.0032161991514972	0.0186129745968404	0.0472293832523909	0.00200987781203105	0.0718546252628143
TC>CA	3.41763491542979e-06	0.000512255240354677	0.0630101256494601	0.07463049528814	0.00140198055032356	0.0109924695169151	0.00380606973823468	0.0177074785353724	0.0444940907860361	0.0163912365253017	0.000239515417542714
TC>CG	2.55162787803581e-05	2.92180774923708e-06	0.000111590451531868	0.000352862861882458	1.03923033800208e-17	0.00080300921386278	0.00228925965805259	0.0109665634111114	0.00710264277096766	0.000547675442631114	0.00275187926538438
TC>CT	0.00146911908129334	0.00251620975834042	0.0186625410320538	7.30426124096689e-06	0.00102942627820961	0.00874739735286718	0.0129069302193272	0.00881349499828766	0.0468646775902103	0.017041682419163	0.0170718435908105
TC>GA	4.96407605363331e-05	0.000664730040636199	0.0748425614584427	0.0321105204313037	2.41179870894823e-05	0.00683768866560651	1.26962621526352e-17	0.00966868572300735	0.015773519889312	0.0284895301511197	0.000199596181285596
TC>GG	0.000317793653900824	7.41342994472236e-06	0.000170271637251212	9.17443440894389e-06	3.41181280778042e-05	0.00140666347207982	0.000991544367230141	0.0019216638637819	0.00340088029983433	4.81980407351135e-18	0.00622570216520602
TC>GT	0.00394342490241898	6.43699033700817e-05	0.0417502206593369	6.17510008294302e-18	3.78436707989437e-05	7.73199127037248e-18	1.26962621526352e-17	0.000277685458850159	8.34264202238178e-18	0.0298554665282282	0.0129100508746428
TG>AA	0.00102894632917342	0.0021595462160961	6.24186346387746e-05	0.00653791477732284	0.0171414364438791	0.0230739634053345	0.0308307895134708	0.00845335135010354	0.013992920218893	0.000897156643033231	0.00645973770849365
TG>AC	0.000178000204389854	0.000160506813358494	7.5126620134094e-05	0.000101110608613905	0.00139036095600352	0.00913909923113249	0.00357418887280059	0.0037624743003351	0.00643851455641471	0.000130782693737943	0.000714448640556258
TG>AT	0.00181004427248754	0.00312988286049063	0.000895165448861469	5.99808695167233e-18	0.0194269613030629	0.1999743495129	0.0017598105518751	0.00803312694772845	0.000660678385018621	0.00157950113210076	0.00866248351713711
TG>CA	0.000209544544408309	0.000105059005107378	0.0148571301011454	0.000688923129877794	0.000453295763738135	0.0103154189341496	0.0326042420076084	0.00494496622329756	0.0201923152525799	0.0184485732229369	0.0462824119344181
TG>CC	7.73587386166876e-05	4.33368396067933e-05	0.00045225477792166	0.000102824347742954	0.000481864824477934	0.00713935573600349	0.00143240393757276	0.00122158256504387	0.010450408771072	0.000120042086039658	0.00258224508653705
TG>CT	0.00138945307224148	0.00223979962277535	0.00567187293798446	7.03489912474712e-05	0.000312355064088463	0.248836860253608	1.23323158053883e-17	0.0190566880146843	0.000857287770372688	0.00273569596079851	0.0046034912405357
TG>GA	0.000305679675893125	0.00107247734380448	0.000488696795150885	0.00672642608151826	0.00311402762063803	0.00673216814649759	0.0112546023666431	0.00026483910010151	0.00547318018688348	1.27623691473741e-05	0.00603073852478781
TG>GC	6.67688530390634e-05	0.000198444787425047	0.000465336527696254	0.000517549216972871	0.000278072191200705	0.00506722333607345	0.00529307359788789	0.00345952182420423	0.00346280494024505	4.68164135554665e-18	0.0050489903928456
TG>GT	0.00142700585797773	0.00466928911588346	0.00962443019130805	2.76768869341452e-05	0.0787553774393777	0.0247931998943594	0.0118821317107226	0.00768131116899581	0.00295799705893056	0.00137100698266346	0.0043229917742665
TT>AA	0.00262177226102409	0.00199939465436495	0.00191312848721912	9.80703413914557e-06	0.00297913562720407	0.000111042643691755	0.203842404781268	0.00222457116753942	0.000192024266482337	0.00582503313135625	0.00250219969030244
TT>AC	0.00034383898505234	0.000160044351683505	0.00144375845464051	3.59591251768671e-07	0.000584927848755921	7.36448621375365e-05	0.0346965795372371	7.02169111541772e-18	0.00375038596707438	2.97679279333448e-18	0.000545552972309127
TT>AG	0.000199617632988719	9.97377843824742e-05	0.013605789551962	3.81384660966772e-18	0.000540725226644966	0.00121974302915295	0.046753640926427	0.00907227347655737	0.000516945092758901	0.002796015903051	0.000666204110415956
TT>CA	0.00034622675578187	1.93444912034846e-18	0.000412332661531076	3.81384660966772e-18	6.35791139952088e-18	4.77540902923088e-18	0.0847463955197017	0.00390853425805109	5.08498277517742e-18	0.00051822708547928	0.00105963173467734
TT>CC	0.00258834347081067	1.38241208120825e-06	0.00484817653903974	3.81384660966772e-18	0.000468063382079013	4.77540902923088e-18	0.0307064728904548	0.000182688246719717	0.00290570444295853	0.00115697209781421	0.00209828066272742
TT>CG	4.00190374269251e-05	7.05122940750515e-06	0.0188936291594931	3.95005541715585e-18	6.35791139952088e-18	6.44392543703448e-06	0.00231599668411058	7.20810769370311e-05	1.11497961183292e-05	0.0034468127080715	5.22471885019127e-18
TT>GA	0.00088825071138521	2.22206505670722e-05	0.00730791316546432	3.81384660966772e-18	1.81049096043499e-05	4.77540902923088e-18	0.0378192716955885	0.00225564059725365	5.16381971742824e-18	0.00349100261458524	0.000370871107137071
TT>GC	0.000506207394660389	7.14400874181445e-07	0.0395102622360469	3.81384660966772e-18	3.42721700202744e-05	2.35318348548847e-07	0.0031834111725415	0.000177717137965439	2.00471081723495e-05	0.0103645417095856	3.03201555764112e-06
TT>GG	0.000768862174908704	1.93444912034846e-18	0.101597817178407	3.81384660966772e-18	6.35791139952088e-18	4.77540902923088e-18	7.84142697541558e-18	0.000334307063725197	5.07935156501665e-18	0.0340262280155776	3.85034501610481e-18
