Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20	DBS21	DBS22
AC>CA	4.76949935312006e-05	0.000357130639744715	0.00688550744492855	0.0042060069823316	0.00213204113597807	0.00270492712511155	0.0543189403343096	0.216421076086907	0.0249765983507348	0.00989439363531083	0.00135456994249327	0.00500126221464197	0.00219761686007589	0.0243606270316373	0.0157845044370109	0.0594834191967026	0.0214939424096942	0.0104760343417131	0.00522517273664878	0.00561178719929661	0.0336104242582749	0.0149754503685161
AC>CG	2.53349663827705e-05	3.02637712352403e-05	5.04426978411493e-05	5.0368215591134e-05	0.000460282204435089	0.000148465578632243	0.00739637027103216	0.000979431166949233	0.0021016898663757	1.81851696915099e-05	0.000191815181201674	0.00238593006468581	5.25155052982678e-05	0.000575514455333412	1.25277530797933e-05	0.00449638755611774	0.00185192161140851	0.00274850151299875	0.000640079204501837	0.00212951972816362	9.20160601147851e-05	0.00195646921946311
AC>CT	0.00411797902387913	0.000120317107175509	0.00327468245001976	8.44886197012569e-18	0.00201248744604218	0.000244054064423493	0.0160945006205488	0.320101870602442	0.0289363031159459	0.0138706457152346	0.000747484638656423	0.000460746931506042	0.00290966286965178	0.00180293778169046	0.015417359790452	0.0145803761272095	0.0150335045787775	0.0204568710159983	0.0169193300843297	0.00264599948121408	6.53832734117374e-08	0.00194776646584112
AC>GA	0.000121907251876368	0.00022630999909507	0.00634334173500746	0.00447015273101948	0.000555925156383806	0.00872491450305007	0.0115146682244973	0.00116766766807141	0.0256873143823067	0.00549688569542068	0.000437021839791863	0.00720592496561251	0.00281676752951261	0.00096379917256785	0.0165574698575836	0.00891754926546475	0.0199142708684362	0.00744864949702553	0.00350755458695591	0.00176897438569638	0.00728593058657578	0.00887412303910236
AC>GG	5.47964613809165e-05	3.98107022242751e-18	0.00048794903045005	7.11857240511792e-18	1.10596379555667e-17	0.000105756219025297	0.00300588524753414	0.000815353835025402	0.00723915274283704	0.000606199035728971	0.00222465840484694	0.00745863622572358	0.00149318814806461	0.00032467809962154	0.00177349900361478	0.00370290888432102	0.00836810173962144	0.00506093810350072	0.000811434589570634	0.00293909594093477	0.00198625666855065	0.00109041710165144
AC>GT	0.00284130976222299	0.00026737039458581	0.0109517518965205	1.13734680367077e-08	0.000818943274242777	0.000134229125429928	0.00532538612157049	0.000151997747324659	0.0122852378873383	0.0294879656778208	0.00564568795102802	0.00198636823335791	0.00452697829758906	0.00393035448372998	0.09457150892627	0.00376335003496663	0.0316922623748298	0.0124019251675566	0.0123935790654709	0.000352915933537418	0.026454998685429	0.00254802070212094
AC>TA	0.00115188207666937	0.00141324460531711	0.0010951749726942	0.00129024886458926	0.00147449584133065	0.010270587872165	0.0064141320338384	0.0124819598317135	0.0418307258830181	0.000107883262342203	0.000261026538706101	0.0070824053313246	0.00263078514214699	0.00195024368426317	0.00259857376590044	0.00598348771132426	0.00898874946903414	0.0232772394965444	0.00648915515232816	0.0104080195846724	0.00628808375940253	0.0130409071678959
AC>TG	0.000165103369558992	6.07184810902613e-06	1.20411601298227e-17	5.39224243526051e-05	0.00111583477152296	0.000456583174130327	0.00118105232721249	0.00258698663550753	0.018174029459236	7.86996609248393e-06	0.000236308408626872	0.00158912901035313	0.00436896984919135	9.44574095917058e-05	0.000376765553517466	0.00114847969752625	0.00913641882519221	0.014083067847551	0.00105870096094575	0.000145672632490477	0.000452702887890558	0.00214756077779381
AC>TT	0.0254373973792401	0.00278829384913328	1.93092477757518e-06	0.000163566718179337	0.00744221869305519	0.00323370923690969	0.0013964343567271	0.000269771683231174	0.0450797146166574	0.000729493458826691	0.0027882382967618	0.00332677833760001	0.0160501038222884	0.000932226202981428	0.00707192272464242	0.00440014711636311	0.0181256497615746	0.0170927051559691	0.0695620473875411	0.00280051732025624	0.00553605624583291	0.00994304464682517
AT>CA	0.000356439712848015	2.78014477622819e-05	0.00588093945633215	0.000716930425568977	8.28928980861667e-05	8.93076820445178e-05	0.0101198342438546	2.15661274733078e-05	0.00993376163261866	0.00279414827931317	0.00722105945854629	0.00148561955642081	0.00330582415505913	0.00220275701070816	0.000907925148544224	0.00637380250495544	0.00811398214069662	0.00356533789161565	0.00346656912962421	0.00192320734162418	0.0047391642025842	0.00409430606373273
AT>CC	0.000219632094162769	3.06698511028348e-18	0.00758507535950626	5.47626881277379e-18	1.6349684040664e-05	5.00487694050784e-05	0.00570722169513283	0.000110894113531722	0.00139229102019244	0.000918190149666953	0.00144725835046443	0.002661091732125	0.00079189057742008	0.000348539259347961	0.00785711589814649	0.00169423165881532	0.00563639345396061	0.0014219659946966	0.00164253348003801	0.00106077589693999	0.000331216636480564	0.000785705090294316
AT>CG	2.9424650081724e-06	3.06698511028348e-18	0.0121962666760782	7.40078613840572e-18	8.05970340032735e-18	1.42548920684261e-06	0.00101198388043127	0.000206278457762227	7.21415392432443e-18	0.00205009725868211	1.32547465342792e-05	0.0010344154536548	1.83040869398479e-06	4.11386280075245e-08	2.35397126745761e-07	0.00295793718501328	0.00113233469568539	0.000580748482351918	0.000238922316370558	0.00133491951795709	3.02511642817685e-07	0.000116836085911846
AT>GA	0.00156774165979017	0.000123588467623884	0.00151200296647166	0.000253586450616651	0.000851955169681003	0.00126911460732363	0.0131284340820207	0.000125628122851885	0.00498252426309989	6.37956347253623e-05	0.00853120888261921	0.00489215932180748	0.00167618301381178	0.0039573100813554	0.00615163389790406	0.0038512768232949	0.0113611278990601	0.0020643997166439	0.00817377803097934	0.0072686599335078	0.00903331697238121	0.00221306406801052
AT>GC	0.000128672959769436	4.30260501082935e-06	0.00438564406510116	1.37689044435455e-05	8.05970340032735e-18	1.34716562404906e-05	0.00846966351397296	0.000175259694919773	0.00141575658160139	0.00322949728916655	0.00318396913278878	0.00307863026776219	0.000235909828495681	0.00044466808910449	0.0115275095027037	0.0012240187777672	0.00873600152336773	0.000386679880740196	0.00187637898090188	0.000316661962138388	0.00253751807856183	1.48841316400831e-05
AT>TA	0.00173043188085509	0.000336924862845452	0.00196309746941314	0.00354551792858469	0.000608648843431921	0.00172348850876888	0.0309976914051976	0.000244277508914206	0.00719611071505166	0.0023192222306566	0.00292498585908276	0.00205576537211203	0.00826220874454677	0.00874094457740299	0.00968267397274196	0.00530290622308392	0.0100226367782025	0.0062546826785825	0.00985019143478491	0.00251899688554166	0.0696682044571809	0.00609522185288608
CC>AA	1.07133104727223e-05	0.728107794745046	0.0103807214084871	7.48642277447238e-18	1.10181492462459e-17	8.88710330815064e-18	1.1271883228452e-17	0.0403912684022689	9.64829584525027e-18	0.0148246656955484	7.65418771700053e-18	0.0170769475399795	5.50933403643542e-07	0.00340668450388198	0.0182660047617094	0.037877073403708	0.000385097019922593	0.0113404093303454	0.0225750935655355	0.000445173786541392	0.00505117559082458	6.49026708415427e-08
CC>AG	1.24314829070268e-05	0.0730119140927799	1.26814744823348e-17	0.00580993037018052	0.0254970246670616	0.0659714519623872	0.000103491848225831	0.0164321435749084	0.028229523090586	7.71498421230935e-05	0.00101215854211363	0.0205711187152395	0.0125432221564536	0.000141407568900129	9.5897439725392e-06	0.011844601756323	0.00132625465374466	0.0509109951691987	0.00689551753685639	0.00466930868292852	0.00223009172920524	0.0268491856673009
CC>AT	0.0189047015960277	0.100567374492608	0.00672634203601909	0.0167985102744628	0.00254970257164092	0.000469082727310957	0.00106188995417365	0.0305319816210146	0.0208513525259228	0.011361969782197	0.0359253705560555	0.0155351504236468	0.0464818045045949	0.000618293105868013	0.0313364417774501	0.0203758838006313	0.000798808547104685	0.106060323691959	0.0925831322159453	0.00650777680466435	0.00230886308147179	0.0427406046228525
CC>GA	0.000135466778858571	0.017800425079072	0.000725165555055972	0.00379838953155095	7.0935894194878e-05	0.0380192624433076	0.000376397358217873	0.000857651497558349	0.0117623016442962	0.00366829320931387	0.000992373247904748	0.0131248376609726	1.11690202687969e-05	0	9.57901718957215e-06	0.00329963008002473	0.000818444411236929	0.0170791448407871	0.00423084442548613	0.00100052503096677	0.00122051898036744	0.0139875099235268
