Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20
AC>CA	4.18611664048548e-05	0.000308790385436196	0.00631316519586788	0.00386596185555408	0.00207375046917522	0.00254789052510286	0.0598839834961666	0.211081805531013	0.0232846479112569	0.00713548405143458	0.00123575317831674	0.00331418368745858	0.00211262143024653	0.0270796573190655	0.0148382417499817	0.0588715680178989	0.0200552110984558	0.00972488718947374	0.00507230767820148	0.0059030663831929
AC>CG	2.22361125369852e-05	2.61673475878823e-05	4.62497625546795e-05	4.62960715532869e-05	0.000447697946016594	0.000139846296630045	0.0081541376270601	0.000955267864161124	0.0019593183935624	1.31144962580948e-05	0.000174990018886049	0.00158108296674558	5.04844060531618e-05	0.000639750947804319	1.17767288497309e-05	0.0044501373562516	0.00172796028511916	0.00255142989056294	0.000621353365196891	0.00224005221032693
AC>CT	0.00361428721145623	0.000104031303295206	0.00300248187026667	7.76579264764812e-18	0.0019574654142518	0.000229885320230879	0.017743402275674	0.312204716944876	0.0269761166211165	0.0100030153369825	0.000681918658450673	0.000305322916277693	0.00279712821870446	0.0020041740810845	0.0144931069980742	0.0144304012192216	0.0140272129761081	0.0189900831164768	0.0164243465665428	0.00278333978691467
AC>GA	0.000106996130598421	0.0001956772790444	0.00581606578560033	0.00410875208225219	0.000540725989955327	0.00821838296058975	0.0126943603405329	0.00113886042936838	0.0239472190239301	0.00396415805332988	0.000398688255641187	0.0047751463428904	0.0027078257156552	0.0010713743650211	0.015564868792383	0.00882582264477282	0.0185812773908888	0.0069145703144629	0.00340493931202321	0.00186079280237898
AC>GG	4.80940161311309e-05	3.44220313695486e-18	0.000447389369778933	6.5430536610593e-18	1.07572640190842e-17	9.96164613544421e-05	0.00331384193886802	0.000795238443296004	0.00674876219834842	0.000437169139501617	0.00202952140618041	0.00494261037495919	0.00143543733136562	0.000360917297626956	0.00166717980054439	0.00366482046915473	0.00780796950520211	0.0046980613583408	0.00078769566222554	0.00309164938543739
AC>GT	0.00249377412508396	0.000231179848520969	0.0100414122648023	1.04539516410648e-08	0.000796553110786843	0.000126436351538177	0.0058709785693925	0.000148247848694053	0.011453018329227	0.0212656698893031	0.00515047367463794	0.00131630554722914	0.0043518920606649	0.00436904404897443	0.0889020569323801	0.00372463991731971	0.0295708902536275	0.0115126887954685	0.0120309986717307	0.000371233995405064
AC>TA	0.00101098928252674	0.00122195157128898	0.00100414102755652	0.00118593547648104	0.00143418266709643	0.00967432108753996	0.00707126785781569	0.0121740205042953	0.0389970527763932	7.78015638181491e-05	0.000238130468359101	0.00469329365461516	0.00252903641696759	0.0021679216462668	0.00244279229021478	0.00592194108103684	0.00838707318910958	0.021608227006751	0.00629931165209769	0.0109482466715049
AC>TG	0.000144908702473981	5.24997888513979e-06	1.10402659001493e-17	4.95629314411196e-05	0.00108532750232618	0.000430075890950323	0.00130205261066607	0.00252316373146694	0.0169428947507046	5.6755390585879e-06	0.000215580501133908	0.0010530672492957	0.0041999947757881	0.000105000346652329	0.000354178896681063	0.00113666634405308	0.00852485806142725	0.0130732910595578	0.00102772813144711	0.000153233754108411
AC>TT	0.0223260146560708	0.00241087780370428	1.77042101822214e-06	0.000150342758815142	0.00723874612266698	0.00304597378952308	0.00153950079764178	0.000263116213111842	0.0420259503735796	0.000526084683199507	0.00254366661258245	0.00220455437549055	0.0154293470844036	0.00103627735393698	0.0066479691804189	0.00435488685331142	0.0169123804901003	0.0158671329228911	0.0675269746778817	0.00294587785702676
AT>CA	0.000261911327263325	2.01249002090502e-05	0.00451427046041792	0.000551688907943672	6.75006424645534e-05	7.04277278863778e-05	0.00934033509608898	1.76097455797137e-05	0.0077531785436988	0.00168699334878719	0.00551519519792306	0.000824203061425484	0.00266059711946575	0.00204998630165674	0.000714547661097193	0.00528126483931533	0.00633833033410988	0.00277088191928163	0.00281730890281833	0.00169368346067366
AT>CC	0.000161385309263569	2.22012788020474e-18	0.00582238295253912	4.2140724583246e-18	1.33137361863025e-05	3.94682857287899e-05	0.00526761227661223	9.05501985926077e-05	0.00108666598450429	0.000554365953617472	0.00110536581930352	0.00147634025337925	0.000637330266339665	0.000324366556900982	0.00618364167684104	0.00140382229954563	0.00440293347763638	0.00110511261044957	0.00133490030732198	0.000934178314133954
