Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11
AC>CA	3.99682383295655e-05	0.000292754786037699	0.00589796711402302	0.00354229775153286	0.0020190615344963	0.00239013403503393	0.0615831924993461	0.206224229530897	0.0217754450729664	0.00609327161024609	0.00117404635497519
AC>CG	2.12306135191253e-05	2.48137078005216e-05	4.31898379215859e-05	4.24391228202971e-05	0.000435890854643592	0.000131187807937952	0.00838551096123993	0.000933284536435175	0.00183232403662767	1.11994711839414e-05	0.000166251819609625
AC>CT	0.00344997469685787	9.86286177560163e-05	0.00280501743060622	7.11882060211436e-18	0.00190584313069276	0.000215651191130881	0.018246871851658	0.305020023213141	0.0252276497796563	0.00854196954707395	0.000647867915592145
AC>GA	0.000102132118065489	0.000185515733398221	0.00543356025465114	0.00376476089534894	0.000526465577686416	0.00770953008292898	0.0130545634644583	0.00111265165700391	0.0223950715587825	0.00338515089458116	0.000378779918904402
AC>GG	4.59192436341689e-05	3.26413758763959e-18	0.000417966173434702	5.99794860827183e-18	1.04727023518266e-17	9.34488494900484e-05	0.00340787165464791	0.000776937794976866	0.0063113383483842	0.00037331570613138	0.00192817832021472
AC>GT	0.00238040212184132	0.000219174706124482	0.00938101855931225	9.58302773361551e-09	0.000775546066054182	0.000118608155121985	0.00603756789209274	0.000144836551903096	0.0107106863976786	0.0181595945185943	0.00489328809263378
AC>TA	0.000965027887232968	0.00115849487522939	0.000938101855931225	0.00108664689479389	0.00139636031357688	0.00907532096009122	0.00727191510558726	0.0118938625403866	0.0364694445937487	6.64375409216864e-05	0.00022623958957186
AC>TG	0.000138320663836725	4.97839689625606e-06	1.03098322780559e-17	4.5433818987052e-05	0.00105670510216628	0.000403447436740689	0.00133899839029079	0.00246509892974141	0.0158447344230122	4.84677679485826e-06	0.000204815386013919
AC>TT	0.0213110325097281	0.0022856790781553	1.65328841936393e-06	0.000137756023670722	0.00704784563676976	0.00285737828248417	0.0015831844694821	0.00025706090006642	0.0393020228146224	0.000449244324327594	0.00241665016133578
AT>CA	0.000249352764371284	1.90341169226283e-05	0.00420639266918575	0.000504183614460595	6.55493015562906e-05	6.58952336533671e-05	0.00958034224106639	1.71535714990693e-05	0.00723176301091304	0.0014368369472464	0.00522614609465678
AT>CC	0.000153646827838736	2.09979543828995e-18	0.00542529054491572	3.85293155155477e-18	1.29277789180462e-05	3.69360125478084e-05	0.00540296778640323	8.82359972793854e-05	0.00101358568184451	0.000472161716375591	0.00104743434386581
AT>CG	2.05897095891641e-06	2.09979543828995e-18	0.00872348479689091	5.20696178252973e-18	6.37284876241715e-18	1.05201162499235e-06	0.000958034224106639	0.000164131295638576	5.25014605989122e-18	0.00105422314259723	9.59229346487637e-06
AT>GA	0.00109673829972432	8.45960752116814e-05	0.001081473115231	0.000178335688957678	0.000673701154884099	0.000936405951916266	0.0124285520965186	9.99596612535692e-05	0.00362727010862332	3.28070985688556e-05	0.00617434981647215
AT>GC	9.00153132792602e-05	2.94575619040677e-06	0.00313686953312858	9.68737075819486e-06	6.37284876241715e-18	9.94208788454308e-06	0.00801814229004568	0.000139449897798189	0.00103066858659469	0.00166070672656242	0.00230435555650478
AT>TA	0.00121055076479004	0.00023062501456518	0.00140412255292422	0.00249339713264902	0.000481301816056838	0.0012716624038369	0.0293451924501133	0.000194366007993051	0.00523875745672443	0.00119261536981076	0.00211691993707617
