Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.1	6792	1.0	22.45	0.331%	2.771	0.35%	1e-05	1.0
SP.Syn.Abst.2	5279	1.0	24.171	0.458%	2.856	0.467%	3e-05	1.0
SP.Syn.Abst.3	5584	1.0	22.846	0.409%	2.777	0.43%	2e-05	1.0
SP.Syn.Abst.4	4881	1.0	21.538	0.441%	2.67	0.464%	3e-05	1.0
SP.Syn.Abst.5	8113	1.0	25.099	0.309%	2.985	0.317%	1e-05	1.0
SP.Syn.Abst.6	9148	1.0	24.755	0.271%	2.868	0.266%	1e-05	1.0
SP.Syn.Abst.7	7760	1.0	21.819	0.281%	2.574	0.284%	1e-05	1.0
SP.Syn.Abst.8	5254	1.0	23.614	0.449%	2.817	0.461%	2e-05	1.0
SP.Syn.Abst.9	4298	1.0	26.885	0.626%	3.309	0.631%	4e-05	1.0
SP.Syn.Abst.10	12380	1.0	26.773	0.216%	3.155	0.219%	1e-05	1.0
SP.Syn.Abst.11	9219	1.0	23.546	0.255%	2.871	0.268%	1e-05	1.0
SP.Syn.Abst.12	9384	1.0	26.513	0.283%	3.241	0.292%	1e-05	1.0
SP.Syn.Abst.13	12464	1.0	25.13	0.202%	3.003	0.207%	1e-05	1.0
SP.Syn.Abst.14	13619	1.0	22.607	0.166%	2.751	0.173%	0.0	1.0
SP.Syn.Abst.15	7996	1.0	21.336	0.267%	2.646	0.285%	1e-05	1.0
SP.Syn.Abst.16	7806	1.0	23.295	0.298%	2.815	0.303%	1e-05	1.0
SP.Syn.Abst.17	18033	1.0	34.627	0.192%	4.198	0.2%	0.0	1.0
SP.Syn.Abst.18	11997	1.0	23.187	0.193%	2.87	0.202%	1e-05	1.0
SP.Syn.Abst.19	11115	1.0	25.227	0.227%	3.0	0.231%	1e-05	1.0
SP.Syn.Abst.20	5547	1.0	24.176	0.436%	2.868	0.445%	2e-05	1.0
SP.Syn.Abst.21	7995	1.0	25.743	0.322%	3.012	0.324%	1e-05	1.0
SP.Syn.Abst.22	9268	1.0	22.085	0.238%	2.652	0.247%	1e-05	1.0
SP.Syn.Abst.23	7167	1.0	25.055	0.35%	2.972	0.357%	1e-05	1.0
SP.Syn.Abst.24	12816	1.0	24.509	0.191%	3.038	0.204%	1e-05	1.0
SP.Syn.Abst.25	10264	1.0	26.819	0.261%	3.117	0.258%	1e-05	1.0
SP.Syn.Abst.26	9249	1.0	27.01	0.292%	3.264	0.291%	1e-05	1.0
SP.Syn.Abst.27	7794	1.0	20.226	0.26%	2.496	0.277%	1e-05	1.0
SP.Syn.Abst.28	6697	1.0	25.273	0.377%	2.982	0.384%	2e-05	1.0
SP.Syn.Abst.29	9469	1.0	30.926	0.327%	3.808	0.339%	1e-05	1.0
SP.Syn.Abst.30	7558	1.0	25.319	0.335%	3.06	0.329%	1e-05	1.0
SP.Syn.Abst.31	20497	1.0	30.477	0.149%	4.034	0.164%	0.0	1.0
SP.Syn.Abst.32	17902	1.0	25.891	0.145%	3.223	0.153%	0.0	1.0
SP.Syn.Abst.33	8839	1.0	24.505	0.277%	2.948	0.282%	2e-05	1.0
SP.Syn.Abst.34	21618	1.0	25.639	0.119%	3.096	0.123%	0.0	1.0
SP.Syn.Abst.35	10724	1.0	24.847	0.232%	3.001	0.242%	1e-05	1.0
SP.Syn.Abst.36	15085	1.0	24.706	0.164%	2.99	0.171%	0.0	1.0
SP.Syn.Abst.37	7534	1.0	23.759	0.315%	2.8	0.317%	1e-05	1.0
SP.Syn.Abst.38	10842	1.0	20.961	0.193%	2.559	0.204%	0.0	1.0
SP.Syn.Abst.39	11218	1.0	23.933	0.213%	2.905	0.221%	1e-05	1.0
SP.Syn.Abst.40	10216	1.0	27.842	0.273%	3.266	0.271%	1e-05	1.0
SP.Syn.Abst.41	8031	1.0	23.679	0.295%	2.84	0.303%	1e-05	1.0
SP.Syn.Abst.42	2779	1.0	34.584	1.244%	4.593	1.427%	0.00016	1.0
SP.Syn.Abst.43	9794	1.0	26.175	0.267%	3.079	0.269%	1e-05	1.0
SP.Syn.Abst.44	11865	1.0	22.841	0.193%	2.895	0.211%	1e-05	1.0
SP.Syn.Abst.45	17095	1.0	24.088	0.141%	3.025	0.153%	0.0	1.0
SP.Syn.Abst.46	6516	1.0	25.633	0.393%	3.015	0.398%	2e-05	1.0
SP.Syn.Abst.47	8217	1.0	26.032	0.317%	3.028	0.314%	1e-05	1.0
SP.Syn.Abst.48	9873	1.0	23.692	0.24%	2.86	0.249%	1e-05	1.0
SP.Syn.Abst.49	5607	1.0	23.309	0.416%	2.839	0.43%	2e-05	1.0
SP.Syn.Abst.50	8606	1.0	22.579	0.262%	2.65	0.264%	1e-05	1.0
SP.Syn.Abst.51	7566	1.0	23.944	0.316%	2.883	0.321%	1e-05	1.0
SP.Syn.Abst.52	12203	1.0	22.267	0.182%	2.76	0.194%	0.0	1.0
SP.Syn.Abst.53	10414	1.0	25.865	0.248%	3.203	0.266%	1e-05	1.0
SP.Syn.Abst.54	8230	1.0	24.076	0.293%	2.831	0.297%	1e-05	1.0
SP.Syn.Abst.55	11995	1.0	31.082	0.259%	3.829	0.27%	1e-05	1.0
SP.Syn.Abst.56	11514	1.0	25.919	0.225%	3.176	0.233%	1e-05	1.0
SP.Syn.Abst.57	12036	1.0	26.645	0.221%	3.184	0.229%	1e-05	1.0
SP.Syn.Abst.58	10984	1.0	26.284	0.239%	3.249	0.25%	1e-05	1.0
SP.Syn.Abst.59	16910	1.0	33.058	0.195%	4.214	0.206%	0.0	1.0
SP.Syn.Abst.60	10602	1.0	26.116	0.246%	3.047	0.249%	1e-05	1.0
SP.Syn.Abst.61	14774	1.0	25.857	0.175%	3.171	0.182%	0.0	1.0
SP.Syn.Abst.62	14893	1.0	23.453	0.157%	2.908	0.168%	0.0	1.0
SP.Syn.Abst.63	9665	1.0	25.128	0.26%	2.987	0.266%	1e-05	1.0
SP.Syn.Abst.64	11535	1.0	27.397	0.238%	3.268	0.238%	1e-05	1.0
SP.Syn.Abst.65	5392	1.0	24.695	0.458%	2.823	0.452%	2e-05	1.0
SP.Syn.Abst.66	5859	1.0	25.631	0.437%	3.035	0.446%	2e-05	1.0
SP.Syn.Abst.67	8865	1.0	24.323	0.274%	2.923	0.285%	1e-05	1.0
SP.Syn.Abst.68	21774	1.0	34.72	0.159%	4.258	0.163%	0.0	1.0
SP.Syn.Abst.69	14342	1.0	24.924	0.174%	2.967	0.178%	0.0	1.0
SP.Syn.Abst.70	6652	1.0	24.379	0.366%	2.956	0.382%	2e-05	1.0
SP.Syn.Abst.71	12631	1.0	23.842	0.189%	2.911	0.196%	0.0	1.0
SP.Syn.Abst.72	18457	1.0	28.866	0.156%	3.788	0.177%	0.0	1.0
