NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	684.878	7.672	91.589	8.71	0.005	0.984	0.0
2	680.939	7.666	91.056	8.711	0.005	0.984	0.0
3	685.32	7.697	91.529	8.734	0.005	0.984	0.0
4	688.407	7.716	92.002	8.765	0.005	0.984	0.0
5	683.807	7.676	91.248	8.701	0.005	0.984	0.0
6	686.089	7.707	91.514	8.733	0.005	0.984	0.0
7	684.293	7.676	91.388	8.707	0.005	0.984	0.0
8	683.897	7.666	91.324	8.702	0.005	0.984	0.0
9	682.103	7.668	91.024	8.7	0.005	0.984	0.0
10	686.771	7.706	91.734	8.737	0.005	0.984	0.0
11	686.299	7.702	91.506	8.72	0.005	0.984	0.0
12	685.327	7.684	91.428	8.708	0.005	0.984	0.0
13	685.468	7.675	91.605	8.706	0.005	0.984	0.0
14	685.163	7.684	91.442	8.71	0.005	0.984	0.0
15	688.218	7.728	91.91	8.772	0.005	0.984	0.0
16	686.776	7.711	91.703	8.739	0.005	0.984	0.0
17	685.294	7.687	91.508	8.722	0.005	0.984	0.0
18	686.916	7.715	91.8	8.754	0.005	0.984	0.0
19	686.515	7.71	91.711	8.751	0.005	0.984	0.0
20	684.987	7.701	91.498	8.73	0.005	0.984	0.0
21	687.557	7.719	91.833	8.756	0.005	0.984	0.0
22	687.665	7.735	91.841	8.774	0.005	0.984	0.0
23	684.737	7.675	91.356	8.699	0.005	0.984	0.0
24	686.568	7.715	91.572	8.741	0.005	0.984	0.0
