Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD37458	6577	1.0	43250352.0	657600.0%	3461794.031	657600.0%	0.0	1.0
PD37459	4473	1.0	20003256.0	447200.0%	1526197.357	447200.0%	0.0	1.0
PD37461	4282	1.0	18331242.0	428100.0%	1469025.633	428100.0%	0.0	1.0
PD37462	4500	1.0	20245500.0	449900.0%	1584146.39	449900.0%	0.0	1.0
PD37463	22080	1.0	487504320.0	2207900.0%	65118543.604	2207900.0%	0.0	1.0
PD37464	6692	1.0	44776172.0	669100.0%	3952404.906	669100.0%	0.0	1.0
PD37466	7871	1.0	61944770.0	787000.0%	5959388.289	787000.0%	0.0	1.0
PD37467	5301	1.0	28095300.0	530000.0%	2348892.792	530000.0%	0.0	1.0
PD37468	12865	1.0	165495360.0	1286400.0%	12997549.045	1286400.0%	0.0	1.0
PD37469	8663	0.965	53671672.0	619550.641%	4536832.645	592871.746%	0.0527	0.937
PD37470	9839	0.967	48074596.0	488612.623%	3771121.735	495766.536%	0.04461	0.923
PD37472	7573	0.98	35554457.0	469489.727%	2860010.265	455266.181%	0.04145	0.96
PD37473	4916	0.974	63239424.0	1286400.0%	4966656.574	1275137.527%	0.04615	0.942
PD37474	3985	0.952	17928523.0	449900.201%	1402863.874	448767.689%	1000.0	0.889
PD37475	5892	0.968	38745796.0	657600.068%	3101258.193	654495.311%	1000.0	0.931
PD37476	3392	0.959	43634688.0	1286400.0%	3426960.928	1296010.27%	0.06685	0.905
PD37478	4237	0.963	27862516.0	657600.094%	2230142.023	639581.795%	1000.0	0.922
PD37479	7936	0.976	102088704.0	1286400.0%	8017769.162	1263206.402%	0.03631	0.946
PD37480	5695	0.969	30183510.0	530000.176%	2523498.098	538856.064%	1000.0	0.937
PD37481	9183	0.977	118130112.0	1286400.0%	9277635.443	1296673.814%	0.03764	0.946
PD37482	4345	0.957	23028508.0	530000.184%	1925291.032	514888.619%	1000.0	0.918
PD37483	6236	0.98	29355906.0	470748.974%	2362574.746	458561.368%	0.03719	0.958
PD37484	14840	0.992	327652360.0	2207900.0%	43766129.336	2046613.028%	0.02579	0.99
PD37485	3764	0.97	18081268.0	480373.751%	1425002.251	481804.767%	0.05643	0.932
PD37486	3946	0.977	18583347.0	470941.384%	1495711.554	458345.989%	0.04885	0.953
PD42572	14130	0.993	181665531.0	1285672.548%	21125902.53	1295451.972%	0.02178	0.991
PD42573	4863	0.979	28113562.0	578111.495%	2290689.56	578068.187%	0.04563	0.955
PD42574	6542	0.973	40832890.0	624165.24%	3399935.145	643260.623%	0.04732	0.945
PD42576	12048	0.986	99216681.0	823511.628%	9730608.543	805040.202%	0.03029	0.979
PD42578	6221	0.971	32971320.0	530000.321%	2756577.011	544823.818%	1000.0	0.942
PD42580	3858	0.958	16516126.0	428100.726%	1323576.134	427048.928%	1000.0	0.909
PD42585	10338	0.985	92368907.0	893489.137%	8038312.393	873380.903%	0.02904	0.973
PD42586	3019	0.942	13500978.0	447200.331%	1030098.817	439215.648%	1000.0	0.86
PD42587	12611	0.994	278438269.0	2207900.0%	37192473.538	2186925.908%	0.02562	0.993
PD42590	5785	0.964	28918066.0	499880.138%	2348494.929	455000.549%	1000.0	0.938
PD42591	45376	0.978	1001856704.0	2207900.0%	133821691.023	1699932.401%	0.09957	0.981
PD42592	6915	0.967	40761500.0	589464.931%	3346895.541	609983.086%	0.05067	0.93
PD42593	4655	0.973	27352010.0	587583.459%	2245053.217	577039.177%	0.04955	0.945
PD42595	5282	0.967	67947648.0	1286400.0%	5336433.199	1281856.076%	0.05281	0.924
PD42596	2840	0.952	36533760.0	1286400.0%	2869268.083	1266960.997%	0.08492	0.894
PD42671	6405	0.97	42119288.0	657600.125%	3371289.936	674504.901%	1000.0	0.933
PD42672	5110	0.945	33603366.0	657600.117%	2689686.09	699160.056%	1000.0	0.877
PD42673	6989	0.971	89906496.0	1286400.0%	7061048.162	1346721.688%	0.04528	0.932
PD42674	4765	0.979	29078361.0	610248.919%	2406048.506	596924.116%	1000.0	0.959
PD42675	4337	0.953	19395080.0	447200.369%	1479807.365	444254.408%	1000.0	0.884
PD42676	3962	0.961	50967168.0	1286400.0%	4002829.155	1270579.361%	0.06458	0.913
PD42677	5906	0.964	39517062.0	669100.271%	3488225.836	706613.9%	1000.0	0.934
PD42876	15976	0.982	352734104.0	2207900.0%	47116676.843	2282798.127%	0.04607	0.977
PD42882	8829	0.98	44271517.0	501432.971%	3597994.371	495918.577%	1000.0	0.958
PD42884	8536	0.986	73210922.0	857672.47%	7322554.33	864462.587%	0.0375	0.979
PD42885	8324	0.98	183785596.0	2207900.0%	24549191.523	2111179.106%	0.04171	0.976
PD42886	8980	0.977	65111276.0	725069.889%	5625239.851	704028.96%	0.04052	0.958
